device,elapsed,rss,mRSS10,mRSS100,dist,label
gryphonelab,25744.65779273,-95,-91.6,-86.79,20,1
gryphonelab,25746.446261896,-98,-94.6,-88.49,20,1
gryphonelab,25746.771511531,-97,-95.3,-88.39,20,1
gryphonelab,25747.185728823,-91,-90.5,-88.28,20,1
gryphonelab,25747.517325125,-84,-85.2,-88.42,20,1
gryphonelab,25747.629015489,-85,-83.5,-88.43,20,1
gryphonelab,25747.852111323,-81,-82,-88.56,20,1
gryphonelab,25748.569237052,-87,-81,-89.19,20,1
gryphonelab,25748.782761947,-82,-80.9,-89.45,20,1
gryphonelab,25748.994846114,-81,-81.6,-89.66,20,1
gryphonelab,25750.17219627,-79,-85.5,-90.01,20,1
gryphonelab,25751.294694342,-92,-89.2,-89.98,20,1
gryphonelab,25753.702635383,-86,-89.2,-90.32,20,1
gryphonelab,25755.329483559,-100,-94.3,-90.47,20,1
gryphonelab,25756.588462934,-98,-97.5,-90.41,20,1
gryphonelab,25756.708488038,-96,-98.7,-90.41,20,1
gryphonelab,25757.924328975,-104,-99.9,-90.43,20,1
gryphonelab,25760.125590537,-94,-92.1,-90.48,20,1
gryphonelab,25760.22632012,-88,-91.2,-90.59,20,1
gryphonelab,25761.385353193,-87,-89.5,-91.06,20,1
gryphonelab,25761.490486786,-88,-90.1,-91.14,20,1
gryphonelab,25761.81072689,-91,-91.7,-91.17,20,1
gryphonelab,25761.926284703,-94,-92.3,-91.2,20,1
gryphonelab,25762.029673088,-97,-92.7,-91.22,20,1
gryphonelab,25762.160243817,-98,-92.9,-91.26,20,1
gryphonelab,25762.579538348,-95,-93.6,-91.29,20,1
gryphonelab,25764.193673139,-91,-89.2,-92.17,20,1
gryphonelab,25764.775430743,-81,-85.6,-92.28,20,1
gryphonelab,25764.823742097,-79,-84.7,-92.21,20,1
gryphonelab,25765.470334337,-80,-81.5,-92.2,20,1
gryphonelab,25765.678943555,-81,-79.9,-92.13,20,1
gryphonelab,25768.594416836,-92,-91.6,-91.18,20,1
gryphonelab,25769.646443189,-101,-93,-91.04,20,1
gryphonelab,25769.874667148,-96,-93.7,-91.01,20,1
gryphonelab,25770.275441054,-95,-97,-91.05,20,1
gryphonelab,25770.526774647,-100,-97.3,-91.1,20,1
gryphonelab,25771.69047522,-97,-97.7,-91.09,20,1
gryphonelab,25771.844079959,-97,-96.6,-91.01,20,1
gryphonelab,25771.947936418,-95,-96.5,-91.13,20,1
gryphonelab,25772.270768084,-95,-95.9,-91.26,20,1
gryphonelab,25773.236134855,-96,-96,-91.06,20,1
gryphonelab,25773.659544073,-96,-95.7,-91.44,20,1
gryphonelab,25774.200205948,-92,-93.1,-92.38,20,1
gryphonelab,25775.820273864,-88,-88.8,-93.04,20,1
gryphonelab,25775.926168239,-87,-88.4,-93.08,20,1
gryphonelab,25776.148837614,-86,-88.1,-93.19,20,1
gryphonelab,25776.677066833,-87,-88.5,-93.19,20,1
gryphonelab,25776.891323135,-90,-90.1,-93.14,20,1
gryphonelab,25776.982285062,-92,-90.8,-93.14,20,1
gryphonelab,25777.736162665,-91,-93.4,-93.05,20,1
gryphonelab,25778.928228967,-93,-92.6,-93.22,20,1
gryphonelab,25779.144498602,-90,-93.1,-93.21,20,1
