device,elapsed,rss,mRSS10,mRSS100,dist,label
ASUS_Z00AD,2633.289879983,-77,-80.5,-82.47,20,1
ASUS_Z00AD,2633.414787483,-78,-80,-82.56,20,1
ASUS_Z00AD,2633.582242587,-80,-80.6,-82.64,20,1
ASUS_Z00AD,2633.905255816,-81,-81.5,-82.73,20,1
ASUS_Z00AD,2634.133495868,-80,-82.2,-82.67,20,1
ASUS_Z00AD,2634.249938941,-78,-82.7,-82.62,20,1
ASUS_Z00AD,2638.74873821,-88,-83.9,-82.6,20,1
ASUS_Z00AD,2638.852250658,-89,-84.9,-82.62,20,1
ASUS_Z00AD,2638.967867741,-88,-85.8,-82.64,20,1
ASUS_Z00AD,2639.067666074,-88,-86.4,-82.65,20,1
ASUS_Z00AD,2639.173976178,-89,-87.1,-82.64,20,1
ASUS_Z00AD,2639.28699222,-88,-88.3,-82.61,20,1
ASUS_Z00AD,2639.392637324,-89,-88.6,-82.58,20,1
ASUS_Z00AD,2639.499385605,-87,-89.3,-82.53,20,1
ASUS_Z00AD,2639.603673782,-87,-90,-82.45,20,1
ASUS_Z00AD,2639.735912532,-90,-90.2,-82.38,20,1
ASUS_Z00AD,2639.933030709,-91,-90.2,-82.29,20,1
ASUS_Z00AD,2640.049174251,-96,-90.2,-82.27,20,1
ASUS_Z00AD,2640.263521647,-95,-90.1,-82.25,20,1
ASUS_Z00AD,2640.372914094,-90,-90.1,-82.23,20,1
ASUS_Z00AD,2640.699116126,-89,-91.2,-82.21,20,1
ASUS_Z00AD,2640.800997636,-88,-90.8,-82.19,20,1
ASUS_Z00AD,2641.033511698,-88,-90.3,-82.18,20,1
ASUS_Z00AD,2641.137067896,-87,-89.3,-82.17,20,1
ASUS_Z00AD,2641.254993052,-98,-88.4,-82.16,20,1
ASUS_Z00AD,2641.365724563,-86,-88,-82.14,20,1
ASUS_Z00AD,2641.466193573,-86,-87.7,-82.11,20,1
ASUS_Z00AD,2641.566744042,-86,-87.5,-82.04,20,1
ASUS_Z00AD,2641.686225448,-86,-87.3,-81.96,20,1
ASUS_Z00AD,2641.893679198,-86,-87.7,-81.86,20,1
ASUS_Z00AD,2641.999768208,-86,-86.4,-81.75,20,1
ASUS_Z00AD,2642.111702427,-86,-85.7,-81.57,20,1
ASUS_Z00AD,2642.231760552,-86,-84.9,-81.47,20,1
ASUS_Z00AD,2642.339708625,-91,-84.1,-81.42,20,1
ASUS_Z00AD,2642.449299458,-85,-83.5,-81.38,20,1
ASUS_Z00AD,2642.775924041,-79,-82.8,-81.35,20,1
ASUS_Z00AD,2643.099161177,-78,-82.2,-81.37,20,1
ASUS_Z00AD,2643.333132739,-78,-81.6,-81.35,20,1
ASUS_Z00AD,2643.449658312,-80,-81,-81.32,20,1
ASUS_Z00AD,2643.54908675,-79,-79.9,-81.28,20,1
ASUS_Z00AD,2643.599869666,-80,-79.4,-81.27,20,1
ASUS_Z00AD,2643.704913052,-80,-79.7,-81.27,20,1
ASUS_Z00AD,2643.817698416,-80,-80.1,-81.29,20,1
ASUS_Z00AD,2643.93529852,-80,-80.4,-81.31,20,1
ASUS_Z00AD,2644.239644666,-80,-80.6,-81.32,20,1
ASUS_Z00AD,2644.572636957,-82,-80.8,-81.31,20,1
ASUS_Z00AD,2645.023840655,-82,-80.9,-81.25,20,1
ASUS_Z00AD,2645.135680499,-81,-80.9,-81.21,20,1
ASUS_Z00AD,2645.228668051,-82,-81,-81.19,20,1
ASUS_Z00AD,2645.466974874,-81,-81,-81.18,20,1
ASUS_Z00AD,2645.565810238,-81,-81.1,-81.15,20,1
ASUS_Z00AD,2646.000977634,-80,-80.9,-81.16,20,1
ASUS_Z00AD,2646.100489509,-81,-80.6,-81.15,20,1
ASUS_Z00AD,2646.323228832,-80,-80.3,-81.13,20,1
ASUS_Z00AD,2646.54478305,-81,-79.8,-81.1,20,1
ASUS_Z00AD,2646.670702634,-80,-79.3,-81.08,20,1
ASUS_Z00AD,2646.768939769,-79,-78.7,-81.08,20,1
ASUS_Z00AD,2646.881485863,-78,-78.1,-80.98,20,1
ASUS_Z00AD,2646.988448988,-77,-77.5,-80.87,20,1
ASUS_Z00AD,2647.11726805,-76,-77,-80.77,20,1
ASUS_Z00AD,2647.318657842,-75,-76.5,-80.67,20,1
ASUS_Z00AD,2647.426093936,-74,-76.1,-80.56,20,1
ASUS_Z00AD,2647.538094248,-75,-75.8,-80.46,20,1
ASUS_Z00AD,2647.658026279,-75,-75.6,-80.35,20,1
ASUS_Z00AD,2647.870197529,-76,-75.5,-80.26,20,1
ASUS_Z00AD,2647.988745237,-76,-75.5,-80.18,20,1
ASUS_Z00AD,2648.090338206,-76,-75.6,-80.07,20,1
ASUS_Z00AD,2648.187492373,-76,-75.8,-79.94,20,1
ASUS_Z00AD,2648.300651279,-76,-75.9,-79.77,20,1
ASUS_Z00AD,2648.416857373,-76,-76,-79.6,20,1
ASUS_Z00AD,2648.521292529,-76,-76,-79.49,20,1
ASUS_Z00AD,2648.634951227,-76,-76,-79.38,20,1
ASUS_Z00AD,2648.733525133,-76,-76,-79.27,20,1
ASUS_Z00AD,2648.834606904,-76,-76,-79.15,20,1
ASUS_Z00AD,2648.942798466,-76,-76,-79.04,20,1
ASUS_Z00AD,2649.05609857,-76,-76,-78.82,20,1
ASUS_Z00AD,2649.16472706,-76,-76,-78.73,20,1
ASUS_Z00AD,2649.401233987,-76,-76,-78.65,20,1
ASUS_Z00AD,2649.491682112,-76,-76.2,-78.58,20,1
ASUS_Z00AD,2649.61701706,-76,-76.4,-78.53,20,1
ASUS_Z00AD,2649.718734612,-76,-76.7,-78.48,20,1
ASUS_Z00AD,2649.850948466,-76,-77.1,-78.44,20,1
ASUS_Z00AD,2650.167279195,-78,-77.3,-78.44,20,1
ASUS_Z00AD,2650.396224611,-78,-77.5,-78.39,20,1
ASUS_Z00AD,2650.51707633,-79,-77.7,-78.26,20,1
ASUS_Z00AD,2650.603247788,-80,-77.9,-78.17,20,1
ASUS_Z00AD,2650.823200809,-78,-78.1,-78.12,20,1
ASUS_Z00AD,2650.934109351,-78,-78.3,-78.08,20,1
ASUS_Z00AD,2651.039337945,-78,-78.3,-78.05,20,1
ASUS_Z00AD,2651.259255809,-78,-78.3,-78.02,20,1
ASUS_Z00AD,2651.368814559,-78,-78.2,-78,20,1
ASUS_Z00AD,2651.484087111,-78,-77.9,-77.97,20,1
ASUS_Z00AD,2651.599235496,-78,-77.9,-77.94,20,1
ASUS_Z00AD,2651.717614507,-78,-77.9,-77.93,20,1
ASUS_Z00AD,2651.817064871,-78,-78.1,-77.91,20,1
ASUS_Z00AD,2651.926477632,-77,-78.3,-77.89,20,1
ASUS_Z00AD,2652.032731382,-78,-78.3,-77.84,20,1
ASUS_Z00AD,2652.146865913,-78,-78.2,-77.78,20,1
ASUS_Z00AD,2652.365145913,-80,-78.2,-77.73,20,1
ASUS_Z00AD,2652.587360184,-80,-78.2,-77.67,20,1
ASUS_Z00AD,2652.703490131,-78,-78.2,-77.61,20,1
ASUS_Z00AD,2652.805228465,-77,-78.3,-77.55,20,1
ASUS_Z00AD,2652.916555496,-78,-78.3,-77.49,20,1
ASUS_Z00AD,2653.042824923,-78,-78.3,-77.48,20,1
ASUS_Z00AD,2653.133603881,-78,-78.1,-77.43,20,1
ASUS_Z00AD,2653.243911329,-78,-77.9,-77.39,20,1
ASUS_Z00AD,2653.376420912,-78,-77.9,-77.35,20,1
ASUS_Z00AD,2653.483368673,-78,-78,-77.32,20,1
ASUS_Z00AD,2653.58411836,-78,-78,-77.32,20,1
ASUS_Z00AD,2653.61860711,-78,-78,-77.36,20,1
