device,elapsed,rss,mRSS10,mRSS100,dist,label
ASUS_Z00AD,2638.74873821,-88,-83.9,-82.6,20,1
ASUS_Z00AD,2638.852250658,-89,-84.9,-82.62,20,1
ASUS_Z00AD,2639.173976178,-89,-87.1,-82.64,20,1
ASUS_Z00AD,2639.28699222,-88,-88.3,-82.61,20,1
ASUS_Z00AD,2641.033511698,-88,-90.3,-82.18,20,1
ASUS_Z00AD,2641.254993052,-98,-88.4,-82.16,20,1
ASUS_Z00AD,2641.466193573,-86,-87.7,-82.11,20,1
ASUS_Z00AD,2641.566744042,-86,-87.5,-82.04,20,1
ASUS_Z00AD,2643.449658312,-80,-81,-81.32,20,1
ASUS_Z00AD,2645.135680499,-81,-80.9,-81.21,20,1
ASUS_Z00AD,2645.466974874,-81,-81,-81.18,20,1
ASUS_Z00AD,2646.881485863,-78,-78.1,-80.98,20,1
ASUS_Z00AD,2649.718734612,-76,-76.7,-78.48,20,1
ASUS_Z00AD,2651.039337945,-78,-78.3,-78.05,20,1
ASUS_Z00AD,2651.259255809,-78,-78.3,-78.02,20,1
ASUS_Z00AD,2651.368814559,-78,-78.2,-78,20,1
ASUS_Z00AD,2652.032731382,-78,-78.3,-77.84,20,1
ASUS_Z00AD,2652.703490131,-78,-78.2,-77.61,20,1
ASUS_Z00AD,2653.042824923,-78,-78.3,-77.48,20,1
ASUS_Z00AD,2653.843150235,-78,-78.2,-77.47,20,1
ASUS_Z00AD,2654.70877211,-79,-77.9,-77.68,20,1
ASUS_Z00AD,2659.304058931,-76,-77.4,-77.67,20,1
ASUS_Z00AD,2659.641948462,-77,-77.9,-77.69,20,1
ASUS_Z00AD,2659.866052525,-79,-79.2,-77.83,20,1
ASUS_Z00AD,2660.193764504,-82,-79.9,-77.9,20,1
ASUS_Z00AD,2660.424392576,-81,-79.2,-77.94,20,1
ASUS_Z00AD,2661.078951118,-75,-76.6,-78.25,20,1
ASUS_Z00AD,2661.293413826,-77,-76.4,-78.32,20,1
ASUS_Z00AD,2662.277303044,-76,-76.4,-78.2,20,1
ASUS_Z00AD,2662.828603721,-80,-76,-78.09,20,1
ASUS_Z00AD,2663.647141846,-81,-78.7,-77.94,20,1
ASUS_Z00AD,2664.517948356,-76,-76.9,-77.86,20,1
ASUS_Z00AD,2665.631920647,-77,-78.7,-78.15,20,1
ASUS_Z00AD,2665.817851272,-78,-79.5,-78.21,20,1
ASUS_Z00AD,2665.952283199,-78,-80.3,-78.19,20,1
ASUS_Z00AD,2666.473122366,-88,-81.9,-78.02,20,1
ASUS_Z00AD,2667.705976584,-76,-77.4,-78.48,20,1
ASUS_Z00AD,2668.274330594,-77,-76.4,-78.39,20,1
ASUS_Z00AD,2668.367985959,-77,-76.5,-78.42,20,1
ASUS_Z00AD,2668.911484292,-77,-76.4,-78.44,20,1
ASUS_Z00AD,2670.551688145,-76,-76.2,-78.24,20,1
ASUS_Z00AD,2670.89207502,-77,-76.8,-78.11,20,1
ASUS_Z00AD,2671.098941427,-75,-77,-78.03,20,1
ASUS_Z00AD,2672.974795957,-83,-81.5,-78.34,20,1
ASUS_Z00AD,2673.301833717,-84,-82.1,-78.39,20,1
ASUS_Z00AD,2674.086263144,-77,-78.3,-78.63,20,1
ASUS_Z00AD,2679.584736215,-74,-80.5,-78.52,20,1
ASUS_Z00AD,2680.208163142,-74,-80.2,-78.56,20,1
ASUS_Z00AD,2681.40947585,-72,-72.7,-79.07,20,1
ASUS_Z00AD,2682.508606474,-80,-76.2,-79.63,20,1
ASUS_Z00AD,2682.853524964,-76,-78.1,-79.76,20,1
ASUS_Z00AD,2685.385515223,-82,-81.8,-79.74,20,1
ASUS_Z00AD,2685.486661213,-83,-82.4,-79.71,20,1
ASUS_Z00AD,2687.156689337,-84,-80.3,-79.68,20,1
ASUS_Z00AD,2687.903694493,-81,-80.4,-79.33,20,1
ASUS_Z00AD,2688.136662305,-81,-81.3,-79.31,20,1
ASUS_Z00AD,2689.012224441,-84,-83.5,-79.86,20,1
ASUS_Z00AD,2689.669400742,-83,-83.4,-80.58,20,1
ASUS_Z00AD,2690.099661263,-82,-83.5,-80.51,20,1
ASUS_Z00AD,2690.208022253,-82,-83,-80.54,20,1
ASUS_Z00AD,2690.350162825,-81,-82.3,-80.5,20,1
ASUS_Z00AD,2692.296227304,-76,-77.6,-79.83,20,1
ASUS_Z00AD,2692.737291158,-78,-78,-79.76,20,1
ASUS_Z00AD,2693.764635064,-77,-78,-78.92,20,1
ASUS_Z00AD,2693.865345064,-77,-78,-78.82,20,1
ASUS_Z00AD,2694.285632407,-78,-77,-78.64,20,1
ASUS_Z00AD,2694.506486053,-75,-76.2,-78.4,20,1
ASUS_Z00AD,2700.205458915,-80,-77.5,-77.58,20,1
ASUS_Z00AD,2700.320576832,-78,-78.2,-77.47,20,1
ASUS_Z00AD,2700.523442874,-79,-80.3,-77.25,20,1
ASUS_Z00AD,2701.750281727,-78,-82.2,-76.21,20,1
ASUS_Z00AD,2701.967379071,-78,-79.1,-76.08,20,1
ASUS_Z00AD,2702.087134488,-78,-77.9,-76.05,20,1
ASUS_Z00AD,2702.844863289,-74,-75.5,-75.96,20,1
ASUS_Z00AD,2703.60324532,-75,-74.4,-75.88,20,1
ASUS_Z00AD,2704.206340997,-71,-72.3,-75.69,20,1
ASUS_Z00AD,2704.971063132,-71,-70.5,-75.54,20,1
ASUS_Z00AD,2705.448072143,-71,-70,-75.49,20,1
ASUS_Z00AD,2706.084535476,-68,-68.9,-75.84,20,1
ASUS_Z00AD,2706.418556205,-69,-69.1,-75.76,20,1
ASUS_Z00AD,2707.157394069,-70,-71.1,-74.4,20,1
ASUS_Z00AD,2711.418415994,-78,-74.6,-66.67,20,1
ASUS_Z00AD,2712.509580525,-87,-79.5,-65.59,20,1
ASUS_Z00AD,2712.843702348,-83,-78.9,-65.35,20,1
ASUS_Z00AD,2713.085028963,-75,-77.5,-65.12,20,1
ASUS_Z00AD,2713.418183129,-69,-69.9,-64.71,20,1
ASUS_Z00AD,2713.903383546,-49,-57.3,-64.16,20,1
ASUS_Z00AD,2714.772456827,-50,-45.6,-63.09,20,1
N8,2804.507054498,-55,-54.1,-60.88,20,1
N8,2806.386413476,-61,-59,-60.19,20,1
N8,2806.939380078,-56,-58.4,-60.02,20,1
N8,2807.4914643,-53,-57.3,-59.83,20,1
N8,2807.620877486,-55,-57.2,-59.84,20,1
N8,2809.367192413,-57,-58.8,-59.92,20,1
N8,2811.375093146,-55,-59.8,-62.69,20,1
N8,2815.176355585,-64,-71,-67.02,20,1
N8,2815.449573796,-65,-71,-67.23,20,1
N8,2816.520492408,-72,-71.4,-67.53,20,1
N8,2817.475708039,-72,-71.6,-68.01,20,1
N8,2822.235079511,-72,-73.3,-69.74,20,1
N8,2822.271574174,-72,-73,-69.82,20,1
N8,2823.726262765,-74,-71.2,-70.2,20,1
N8,2824.142087839,-61,-71,-70.22,20,1
N8,2824.965086498,-74,-72.4,-70.51,20,1
N8,2826.630551316,-78,-74.3,-70.49,20,1
