device,elapsed,rss,mRSS10,mRSS100,dist,label
gryphonelab,2891.56,-54,-53.7777777777778,-56.462962962963,20,1
gryphonelab,2892.19,-55,-55.5,-56.3559322033898,20,1
gryphonelab,2892.52,-59,-57,-56.1129032258064,20,1
gryphonelab,2892.62,-60,-57.3,-56.1587301587302,20,1
gryphonelab,2893.26,-58,-57.9,-56.3676470588235,20,1
gryphonelab,2893.91,-55,-55.7,-56.5068493150685,20,1
gryphonelab,2895.21,-56,-56.2,-56.75,20,1
gryphonelab,2896.94,-58,-58.4,-56.8989898989899,20,1
gryphonelab,2897.47,-59,-58.1,-57,20,1
gryphonelab,2898.97,-59,-56,-57.05,20,1
gryphonelab,2899.19,-59,-57.4,-56.9,20,1
gryphonelab,2899.28,-59,-58.1,-56.83,20,1
gryphonelab,2899.95,-58,-58.4,-56.52,20,1
gryphonelab,2900.27,-58,-58.4,-56.44,20,1
gryphonelab,2900.5,-59,-58.3,-56.41,20,1
gryphonelab,2900.56,-58,-58.4,-56.38,20,1
gryphonelab,2900.88,-58,-58.2,-56.29,20,1
gryphonelab,2901.09,-58,-58,-56.21,20,1
gryphonelab,2902.5,-59,-57.7,-55.91,20,1
gryphonelab,2902.59,-58,-57.7,-55.88,20,1
gryphonelab,2902.7,-58,-57.7,-55.86,20,1
gryphonelab,2903.31,-58,-57.9,-55.72,20,1
gryphonelab,2903.78,-57,-55.4,-55.51,20,1
gryphonelab,2904.28,-52,-52.6,-55.49,20,1
gryphonelab,2904.38,-52,-52.1,-55.41,20,1
gryphonelab,2904.73,-52,-52.2,-55.17,20,1
gryphonelab,2904.92,-52,-52.2,-55.1,20,1
gryphonelab,2905.77,-53,-52.4,-54.6,20,1
gryphonelab,2906.22,-52,-52.3,-54.35,20,1
gryphonelab,2906.65,-52,-53,-54.08,20,1
gryphonelab,2907.2,-55,-54.4,-53.72,20,1
gryphonelab,2907.27,-55,-54.7,-53.67,20,1
gryphonelab,2908.03,-56,-55.5,-53.81,20,1
gryphonelab,2908.25,-58,-55.7,-53.99,20,1
gryphonelab,2909.41,-52,-51.9,-54.48,20,1
gryphonelab,2909.95,-51,-51.4,-54.94,20,1
gryphonelab,2910.05,-51,-51.4,-55.05,20,1
gryphonelab,2910.37,-52,-51.6,-55.38,20,1
gryphonelab,2910.48,-52,-51.8,-55.49,20,1
gryphonelab,2911.54,-53,-51.9,-56.59,20,1
gryphonelab,2911.75,-52,-51.9,-56.68,20,1
gryphonelab,2913.25,-54,-55.3,-57.43,20,1
gryphonelab,2913.68,-61,-60.4,-57.45,20,1
gryphonelab,2914,-70,-62.3,-57.46,20,1
gryphonelab,2914.66,-63,-63,-57.61,20,1
gryphonelab,2915.51,-64,-63.1,-58.12,20,1
gryphonelab,2915.84,-63,-63.2,-58.36,20,1
gryphonelab,2916.05,-63,-63.4,-58.52,20,1
gryphonelab,2917.12,-64,-63.2,-59.17,20,1
gryphonelab,2917.83,-61,-61.6,-59.6,20,1
gryphonelab,2918.27,-61,-59.8,-59.82,20,1
gryphonelab,2918.92,-53,-57.3,-59.96,20,1
gryphonelab,2919.34,-56,-55.9,-59.94,20,1
gryphonelab,2919.99,-57,-57.7,-59.25,20,1
gryphonelab,2920.84,-61,-59.9,-58.72,20,1
gryphonelab,2921.18,-60,-60,-58.56,20,1
gryphonelab,2922.12,-59,-58.7,-57.74,20,1
gryphonelab,2922.24,-59,-58.6,-57.65,20,1
gryphonelab,2922.44,-58,-58.5,-57.46,20,1
gryphonelab,2922.67,-58,-58.6,-57.27,20,1
gryphonelab,2923.51,-59,-58.7,-56.95,20,1
gryphonelab,2924.58,-54,-55.1,-56.84,20,1
gryphonelab,2925.01,-54,-53.7,-56.83,20,1
gryphonelab,2925.76,-53,-53.3,-56.95,20,1
gryphonelab,2925.89,-53,-53.4,-56.96,20,1
gryphonelab,2925.98,-54,-53.6,-56.96,20,1
gryphonelab,2926.39,-55,-54.7,-56.96,20,1
gryphonelab,2926.61,-56,-54.9,-56.95,20,1
gryphonelab,2926.71,-56,-55,-56.92,20,1
gryphonelab,2926.92,-55,-54.9,-56.86,20,1
gryphonelab,2928.22,-54,-53.9,-56.5,20,1
gryphonelab,2928.96,-59,-57,-56.15,20,1
gryphonelab,2931.2,-58,-57.4,-55.39,20,1
gryphonelab,2931.62,-57,-57.7,-55.35,20,1
gryphonelab,2932.06,-58,-57.6,-55.29,20,1
gryphonelab,2932.15,-58,-57.6,-55.24,20,1
gryphonelab,2932.37,-58,-57.5,-55.14,20,1
gryphonelab,2932.48,-57,-57.5,-55.09,20,1
gryphonelab,2932.58,-57,-57.4,-55.04,20,1
gryphonelab,2933.44,-57,-56.3,-54.99,20,1
gryphonelab,2934.38,-53,-52.4,-55.03,20,1
gryphonelab,2934.69,-52,-52.4,-54.9,20,1
gryphonelab,2935.12,-52,-52.6,-54.74,20,1
gryphonelab,2935.34,-52,-52.9,-54.62,20,1
gryphonelab,2935.55,-53,-53.1,-54.55,20,1
gryphonelab,2935.99,-54,-51.5,-54.34,20,1
gryphonelab,2936.08,-54,-51.6,-54.25,20,1
gryphonelab,2936.72,-53,-51.9,-54.14,20,1
gryphonelab,2937.35,-54,-51.9,-54.17,20,1
gryphonelab,2937.77,-55,-53.5,-54.3,20,1
gryphonelab,2937.99,-53,-53,-54.32,20,1
gryphonelab,2938.44,-52,-51.8,-54.33,20,1
gryphonelab,2938.96,-50,-51.3,-54.39,20,1
gryphonelab,2939.6,-52,-52.3,-54.51,20,1
gryphonelab,2940.56,-54,-54.2,-54.78,20,1
gryphonelab,2941.24,-54,-54.6,-54.89,20,1
gryphonelab,2941.31,-54,-54.6,-54.93,20,1
gryphonelab,2942.39,-51,-52.9,-55.08,20,1
gryphonelab,2942.6,-51,-52.6,-55.14,20,1
gryphonelab,2942.82,-51,-52.3,-55.27,20,1
gryphonelab,2943.05,-53,-52.1,-55.46,20,1
gryphonelab,2943.26,-54,-52.1,-55.64,20,1
gryphonelab,2943.35,-53,-52.9,-55.74,20,1
gryphonelab,2944.54,-60,-58.2,-56.18,20,1
gryphonelab,2944.84,-60,-59.7,-56.29,20,1
gryphonelab,2945.28,-60,-59.6,-56.37,20,1
gryphonelab,2945.37,-61,-59.4,-56.44,20,1
gryphonelab,2946.36,-59,-58.5,-56.39,20,1
gryphonelab,2946.76,-59,-59.4,-56.69,20,1
gryphonelab,2946.86,-60,-59.7,-56.8,20,1
gryphonelab,2947.41,-61,-60.7,-57.29,20,1
gryphonelab,2947.82,-62,-61.5,-57.78,20,1
gryphonelab,2948.69,-62,-59.8,-58.65,20,1
gryphonelab,2948.8,-62,-58.9,-58.79,20,1
gryphonelab,2948.91,-56,-58.2,-58.97,20,1
gryphonelab,2950.5,-60,-59.5,-60.67,20,1
gryphonelab,2950.63,-59,-59.1,-60.79,20,1
gryphonelab,2952.18,-43,-54.9,-61.4,20,1
gryphonelab,2952.82,-58,-55.9,-61.58,20,1
gryphonelab,2952.93,-59,-57.7,-61.59,20,1
gryphonelab,2953.06,-59,-58.1,-61.6,20,1
gryphonelab,2953.25,-61,-61,-61.75,20,1
gryphonelab,2954.35,-70,-70.2,-62.41,20,1
gryphonelab,2955.87,-65,-65.3,-63.76,20,1
gryphonelab,2955.96,-61,-64.2,-64.2,20,1
gryphonelab,2956.92,-61,-63.1,-65.4,20,1
gryphonelab,2957.66,-64,-63,-67.32,20,1
gryphonelab,2958.29,-61,-62.3,-68.15,20,1
gryphonelab,2958.4,-61,-62.6,-68.44,20,1
gryphonelab,2958.72,-60,-62.9,-68.9,20,1
gryphonelab,2959.15,-66,-65.7,-69.38,20,1
gryphonelab,2959.26,-67,-66.7,-69.47,20,1
gryphonelab,2959.36,-68,-67.7,-69.55,20,1
gryphonelab,2960.01,-67,-67.6,-69.67,20,1
gryphonelab,2960.66,-68,-67.3,-69.41,20,1
gryphonelab,2962.78,-75,-76.1,-69.26,20,1
gryphonelab,2963.01,-77,-78.3,-69.28,20,1
gryphonelab,2963.47,-81,-82.5,-69.32,20,1
gryphonelab,2964.47,-73,-71.8,-69.36,20,1
gryphonelab,2964.57,-74,-72,-69.38,20,1
gryphonelab,2965.12,-71,-71.4,-69.38,20,1
gryphonelab,2965.21,-70,-70.9,-69.31,20,1
gryphonelab,2965.89,-69,-68.9,-68.48,20,1
gryphonelab,2965.96,-72,-68.4,-68.32,20,1
gryphonelab,2966.3,-66,-67,-67.97,20,1
gryphonelab,2966.82,-64,-65.7,-67.63,20,1
gryphonelab,2967.25,-66,-65.4,-67.18,20,1
gryphonelab,2967.57,-66,-66,-66.81,20,1
gryphonelab,2967.77,-67,-66,-66.5,20,1
gryphonelab,2967.88,-66,-65.8,-66.35,20,1
gryphonelab,2967.98,-66,-65.8,-66.24,20,1
gryphonelab,2968.73,-64,-63.3,-65.9,20,1
gryphonelab,2970.21,-64,-63.2,-64.12,20,1
gryphonelab,2970.44,-64,-61.8,-64.1,20,1
gryphonelab,2971.51,-53,-54.7,-64.05,20,1
gryphonelab,2971.61,-54,-54.4,-64.05,20,1
gryphonelab,2971.85,-54,-54.1,-64.04,20,1
gryphonelab,2972.04,-55,-54.6,-64,20,1
gryphonelab,2972.15,-54,-54.9,-63.98,20,1
gryphonelab,2973.58,-66,-64.8,-63.63,20,1
gryphonelab,2973.77,-60,-67.5,-63.45,20,1
gryphonelab,2973.86,-70,-67.5,-63.37,20,1
gryphonelab,2974.4,-63,-68.5,-63.05,20,1
gryphonelab,2975.06,-64,-65.1,-62.9,20,1
gryphonelab,2975.69,-66,-66.6,-62.81,20,1
gryphonelab,2977.31,-68,-68.1,-62.63,20,1
gryphonelab,2978.38,-61,-63.2,-62.79,20,1
gryphonelab,2979.13,-61,-60.8,-62.21,20,1
gryphonelab,2979.34,-61,-60.2,-62.08,20,1
gryphonelab,2979.87,-57,-58.8,-61.94,20,1
gryphonelab,2980.21,-59,-58.5,-61.73,20,1
gryphonelab,2981.05,-59,-61,-60.79,20,1
gryphonelab,2981.26,-64,-61,-60.51,20,1
gryphonelab,2982.43,-57,-57.2,-58.75,20,1
gryphonelab,2982.65,-57,-57,-58.31,20,1
gryphonelab,2982.87,-57,-57.6,-57.9,20,1
gryphonelab,2983.12,-58,-57.6,-57.51,20,1
gryphonelab,2983.72,-60,-57,-56.37,20,1
gryphonelab,2984.26,-55,-53.5,-55.71,20,1
gryphonelab,2986.07,-63,-59.7,-54.9,20,1
HTC One M9,2595.08,-54,-55.1,-54.81,20,1
HTC One M9,2595.15,-53,-53.8,-54.78,20,1
HTC One M9,2597.65,-49,-49.2,-54.9,20,1
HTC One M9,2598.39,-49,-49,-55.12,20,1
HTC One M9,2598.5,-49,-49,-55.15,20,1
HTC One M9,2598.93,-49,-49,-55.33,20,1
HTC One M9,2600.22,-57,-54.5,-55.81,20,1
HTC One M9,2600.75,-59,-57.6,-55.65,20,1
HTC One M9,2600.85,-58,-57.5,-55.6,20,1
HTC One M9,2601.59,-56,-56.7,-55.7,20,1
HTC One M9,2601.8,-58,-56.8,-55.76,20,1
HTC One M9,2602.14,-57,-57.1,-56,20,1
HTC One M9,2603.32,-66,-62.2,-56.76,20,1
HTC One M9,2603.86,-65,-64.1,-56.95,20,1
HTC One M9,2604.03,-64,-63.7,-57.01,20,1
HTC One M9,2604.83,-62,-60.8,-57.27,20,1
HTC One M9,2605.26,-57,-58.8,-57.35,20,1
HTC One M9,2605.47,-57,-58.4,-57.37,20,1
HTC One M9,2605.7,-58,-57.5,-57.4,20,1
HTC One M9,2607.24,-59,-59.1,-56.66,20,1
HTC One M9,2608.29,-59,-59,-56.18,20,1
HTC One M9,2608.48,-58,-58.2,-56.04,20,1
HTC One M9,2608.72,-57,-57.1,-55.89,20,1
HTC One M9,2610.32,-51,-52,-54.63,20,1
HTC One M9,2612.02,-50,-50.4,-54.29,20,1
HTC One M9,2612.27,-51,-50.5,-54.3,20,1
HTC One M9,2612.36,-49,-50.6,-54.28,20,1
HTC One M9,2612.77,-52,-50.7,-54.22,20,1
HTC One M9,2613.31,-50,-50.9,-54.18,20,1
HTC One M9,2614.28,-50,-50.4,-53.95,20,1
HTC One M9,2614.9,-49,-51.8,-53.76,20,1
HTC One M9,2615.15,-55,-52.4,-53.75,20,1
HTC One M9,2615.25,-55,-52.9,-53.76,20,1
HTC One M9,2616.39,-57,-55.3,-53.77,20,1
HTC One M9,2618.02,-58,-58,-54.31,20,1
HTC One M9,2618.13,-58,-58.1,-54.36,20,1
HTC One M9,2618.76,-57,-57.8,-55.11,20,1
