device,elapsed,rss,mRSS10,mRSS100,dist,label
gryphonelab,2891.07,-53,-53.4,-56.26,20,1
gryphonelab,2891.25,-54,-53.5,-56.3137254901961,20,1
gryphonelab,2891.36,-53,-53.5714285714286,-56.3653846153846,20,1
gryphonelab,2891.45,-53,-53.75,-56.4150943396226,20,1
gryphonelab,2891.66,-54,-53.9,-56.4909090909091,20,1
gryphonelab,2891.87,-54,-54.2,-56.5357142857143,20,1
gryphonelab,2891.98,-55,-54.2,-56.4912280701754,20,1
gryphonelab,2892.1,-54,-54.8,-56.4310344827586,20,1
gryphonelab,2892.3,-56,-56.1,-56.2666666666667,20,1
gryphonelab,2892.4,-54,-56.6,-56.1967213114754,20,1
gryphonelab,2892.72,-60,-57.7,-56.203125,20,1
gryphonelab,2892.91,-59,-57.9,-56.2615384615385,20,1
gryphonelab,2892.96,-58,-58,-56.3030303030303,20,1
gryphonelab,2893.17,-58,-58.2,-56.3432835820896,20,1
gryphonelab,2893.36,-57,-57.4,-56.4057971014493,20,1
gryphonelab,2893.48,-57,-56.8,-56.4285714285714,20,1
gryphonelab,2893.59,-56,-56.4,-56.4647887323944,20,1
gryphonelab,2893.7,-56,-56,-56.4861111111111,20,1
gryphonelab,2893.96,-54,-55.3,-56.527027027027,20,1
gryphonelab,2894.04,-55,-55.2,-56.56,20,1
gryphonelab,2894.13,-54,-55.1,-56.5789473684211,20,1
gryphonelab,2894.25,-55,-55.1,-56.6103896103896,20,1
gryphonelab,2894.35,-54,-55.1,-56.6410256410256,20,1
gryphonelab,2894.57,-56,-55.2,-56.6582278481013,20,1
gryphonelab,2894.67,-56,-55.4,-56.675,20,1
gryphonelab,2894.79,-56,-55.5,-56.6913580246914,20,1
gryphonelab,2894.9,-56,-55.7,-56.7073170731707,20,1
gryphonelab,2895,-56,-55.9,-56.7349397590361,20,1
gryphonelab,2895.33,-56,-56.3,-56.7647058823529,20,1
gryphonelab,2895.42,-56,-56.5,-56.7674418604651,20,1
gryphonelab,2895.6,-57,-56.7,-56.7816091954023,20,1
gryphonelab,2895.64,-57,-56.9,-56.7954545454545,20,1
gryphonelab,2895.76,-57,-57.1,-56.8089887640449,20,1
gryphonelab,2895.87,-58,-57.3,-56.8222222222222,20,1
gryphonelab,2896.09,-58,-57.5,-56.8351648351648,20,1
gryphonelab,2896.18,-58,-57.7,-56.8478260869565,20,1
gryphonelab,2896.29,-58,-57.8,-56.8387096774194,20,1
gryphonelab,2896.39,-58,-57.9,-56.8404255319149,20,1
gryphonelab,2896.5,-58,-58,-56.8421052631579,20,1
gryphonelab,2896.6,-58,-58.1,-56.8645833333333,20,1
gryphonelab,2896.72,-58,-58.2,-56.8762886597938,20,1
gryphonelab,2896.82,-58,-58.3,-56.8877551020408,20,1
gryphonelab,2897.03,-59,-58.4,-56.91,20,1
gryphonelab,2897.16,-59,-58.5,-56.96,20,1
gryphonelab,2897.58,-59,-57.6,-57.05,20,1
gryphonelab,2897.79,-58,-57,-57.1,20,1
gryphonelab,2897.89,-59,-56.3,-57.14,20,1
gryphonelab,2898.04,-54,-55.6,-57.17,20,1
gryphonelab,2898.24,-53,-54.8,-57.21,20,1
gryphonelab,2898.33,-52,-54.8,-57.23,20,1
gryphonelab,2898.43,-51,-54.8,-57.21,20,1
gryphonelab,2898.64,-52,-55,-57.18,20,1
gryphonelab,2898.76,-51,-55,-57.14,20,1
gryphonelab,2898.89,-59,-55.5,-57.12,20,1
gryphonelab,2899.06,-60,-56.7,-56.97,20,1
gryphonelab,2899.38,-58,-58.8,-56.77,20,1
gryphonelab,2899.49,-59,-58.7,-56.71,20,1
gryphonelab,2899.6,-58,-58.6,-56.66,20,1
gryphonelab,2899.71,-59,-58.5,-56.61,20,1
gryphonelab,2899.81,-58,-58.4,-56.56,20,1
gryphonelab,2900.03,-58,-58.5,-56.48,20,1
gryphonelab,2900.13,-59,-58.4,-56.46,20,1
gryphonelab,2900.35,-59,-58.3,-56.42,20,1
gryphonelab,2900.67,-58,-58.4,-56.37,20,1
gryphonelab,2900.78,-58,-58.3,-56.33,20,1
gryphonelab,2900.99,-59,-58.1,-56.25,20,1
gryphonelab,2901.2,-58,-58,-56.17,20,1
gryphonelab,2901.3,-57,-58,-56.14,20,1
