device,elapsed,rss,mRSS10,mRSS100,dist,label
gryphonelab,4435.39,-78,-77.7,-70.49,20,1
gryphonelab,4435.7,-77,-76.9,-70.73,20,1
gryphonelab,4437,-65,-69.5,-70.96,20,1
gryphonelab,4437.19,-65,-67.2,-70.91,20,1
gryphonelab,4437.31,-65,-65.9,-70.86,20,1
gryphonelab,4438.82,-67,-67.8,-69.57,20,1
gryphonelab,4439.57,-65,-66.9,-68.79,20,1
gryphonelab,4439.68,-66,-66.4,-68.65,20,1
gryphonelab,4440.32,-68,-66.6,-67.79,20,1
gryphonelab,4440.43,-68,-66.7,-67.68,20,1
gryphonelab,4440.95,-66,-69,-67.47,20,1
gryphonelab,4441.7,-71,-70,-67.22,20,1
gryphonelab,4441.94,-68,-70.3,-67.19,20,1
gryphonelab,4442.35,-68,-66.4,-67.08,20,1
gryphonelab,4442.79,-63,-65,-67.05,20,1
gryphonelab,4444.06,-65,-63.6,-67.84,20,1
gryphonelab,4445.05,-63,-61.9,-68.71,20,1
gryphonelab,4445.38,-61,-61.8,-68.92,20,1
gryphonelab,4445.7,-62,-61.7,-69.04,20,1
gryphonelab,4445.8,-61,-61.8,-69.11,20,1
gryphonelab,4445.91,-61,-61.9,-69.19,20,1
gryphonelab,4446.13,-63,-62.5,-69.31,20,1
gryphonelab,4447.2,-75,-74.1,-69.26,20,1
gryphonelab,4447.4,-72,-75.2,-69.14,20,1
gryphonelab,4448.05,-74,-73.3,-68.55,20,1
gryphonelab,4448.26,-74,-73.4,-68.47,20,1
gryphonelab,4449.03,-75,-74.2,-68.39,20,1
gryphonelab,4449.53,-76,-74.4,-68.37,20,1
gryphonelab,4449.76,-74,-77.5,-68.32,20,1
gryphonelab,4452.42,-68,-69.7,-67.49,20,1
gryphonelab,4452.93,-68,-66.5,-67.48,20,1
gryphonelab,4453.47,-61,-63.7,-67.04,20,1
gryphonelab,4453.9,-62,-62.1,-66.61,20,1
gryphonelab,4454.02,-62,-61.9,-66.54,20,1
gryphonelab,4455.06,-63,-63.2,-65.71,20,1
gryphonelab,4455.26,-63,-63.2,-65.73,20,1
gryphonelab,4455.7,-63,-63.1,-65.64,20,1
gryphonelab,4456.89,-61,-61.4,-65.35,20,1
gryphonelab,4459.04,-63,-59.8,-64.97,20,1
gryphonelab,4459.25,-64,-63.5,-65.02,20,1
gryphonelab,4463.09,-71,-72.4,-66.19,20,1
gryphonelab,4465.79,-72,-70.8,-67.7,20,1
gryphonelab,4465.9,-70,-70.8,-67.7,20,1
gryphonelab,4466.65,-73,-70,-67.65,20,1
gryphonelab,4466.97,-67,-69.1,-67.67,20,1
gryphonelab,4468.02,-64,-66.6,-67.69,20,1
gryphonelab,4469.21,-66,-66.8,-67.59,20,1
gryphonelab,4469.64,-66,-66.1,-67.27,20,1
gryphonelab,4469.96,-66,-66.2,-67.12,20,1
gryphonelab,4470.62,-67,-66,-66.82,20,1
gryphonelab,4471.76,-66,-65.7,-66.82,20,1
gryphonelab,4471.99,-64,-65.3,-66.84,20,1
gryphonelab,4472.09,-64,-64.9,-66.85,20,1
gryphonelab,4472.19,-65,-64.6,-66.85,20,1
gryphonelab,4473.17,-64,-64.1,-66.87,20,1
gryphonelab,4474.74,-64,-64,-66.83,20,1
gryphonelab,4475.44,-64,-64.2,-67.23,20,1
gryphonelab,4475.77,-64,-64.2,-67.36,20,1
gryphonelab,4476.19,-65,-64,-67.43,20,1
gryphonelab,4476.61,-63,-65.5,-67.49,20,1
gryphonelab,4476.79,-64,-66.3,-67.49,20,1
gryphonelab,4477.27,-71,-70.4,-67.49,20,1
gryphonelab,4477.67,-72,-72.3,-67.54,20,1
gryphonelab,4478.01,-73,-72.3,-67.68,20,1
gryphonelab,4478.65,-71,-71.6,-67.21,20,1
gryphonelab,4478.93,-71,-71.3,-67.07,20,1
gryphonelab,4479.73,-71,-70.8,-66.41,20,1
gryphonelab,4480.12,-72,-71.3,-66.61,20,1
gryphonelab,4480.56,-72,-71.6,-66.7,20,1
gryphonelab,4480.65,-72,-71.7,-66.7,20,1
gryphonelab,4481.21,-72,-71.7,-66.9,20,1
gryphonelab,4481.51,-72,-71.6,-67.17,20,1
