device,elapsed,rss,mRSS10,mRSS100,dist,label
gryphonelab,4435.17,-78,-77.5,-70.5,20,1
gryphonelab,4435.29,-79,-77.7,-70.5,20,1
gryphonelab,4435.49,-78,-77.7,-70.52,20,1
gryphonelab,4435.59,-76,-77.4,-70.62,20,1
gryphonelab,4435.81,-76,-76.8,-70.81,20,1
gryphonelab,4435.91,-77,-76.5,-70.86,20,1
gryphonelab,4436.04,-75,-76.3,-70.87,20,1
gryphonelab,4436.12,-75,-76.2,-70.91,20,1
gryphonelab,4436.37,-77,-76.2,-70.94,20,1
gryphonelab,4436.46,-76,-75,-70.96,20,1
gryphonelab,4436.58,-76,-73.9,-71,20,1
gryphonelab,4436.67,-77,-72.8,-71.02,20,1
gryphonelab,4436.91,-76,-71.8,-71,20,1
gryphonelab,4436.94,-65,-70.8,-70.98,20,1
gryphonelab,4437.11,-66,-68.3,-70.93,20,1
gryphonelab,4437.42,-64,-64.9,-70.86,20,1
gryphonelab,4437.54,-64,-65.1,-70.85,20,1
gryphonelab,4437.64,-65,-65.2,-70.83,20,1
gryphonelab,4437.84,-64,-65.3,-70.8,20,1
gryphonelab,4438.07,-66,-65.5,-70.69,20,1
gryphonelab,4438.17,-67,-65.7,-70.57,20,1
gryphonelab,4438.27,-66,-66,-70.41,20,1
gryphonelab,4438.38,-67,-66.3,-70.23,20,1
gryphonelab,4438.48,-67,-66.8,-70.06,20,1
gryphonelab,4438.72,-67,-67.3,-69.89,20,1
gryphonelab,4438.76,-67,-67.6,-69.72,20,1
gryphonelab,4438.93,-70,-68,-69.44,20,1
gryphonelab,4439.02,-69,-67.8,-69.3,20,1
gryphonelab,4439.13,-69,-67.7,-69.17,20,1
gryphonelab,4439.42,-69,-67.5,-69.04,20,1
gryphonelab,4439.46,-68,-67.1,-68.9,20,1
gryphonelab,4439.78,-65,-66.3,-68.49,20,1
gryphonelab,4439.89,-63,-66.2,-68.32,20,1
gryphonelab,4439.99,-65,-66.1,-68.17,20,1
gryphonelab,4440.1,-65,-66.1,-68.04,20,1
