device,elapsed,rss,mRSS10,mRSS100,dist,label
ASUS_Z00AD,4541.79291014,-80,-78.8,-77.65,20,1
ASUS_Z00AD,4541.909303265,-85,-79.5,-77.66,20,1
ASUS_Z00AD,4542.459842171,-80,-80.4,-77.71,20,1
ASUS_Z00AD,4543.11998165,-75,-78,-78.01,20,1
ASUS_Z00AD,4544.761339826,-78,-81.1,-78.69,20,1
ASUS_Z00AD,4544.984270035,-78,-80.2,-78.77,20,1
ASUS_Z00AD,4545.100383628,-82,-78.6,-78.82,20,1
ASUS_Z00AD,4545.447665659,-76,-77.5,-78.89,20,1
ASUS_Z00AD,4545.519665295,-75,-77.3,-78.95,20,1
ASUS_Z00AD,4546.844428367,-76,-76.4,-79.27,20,1
ASUS_Z00AD,4546.953940659,-76,-76.8,-79.32,20,1
ASUS_Z00AD,4547.389706023,-80,-78.5,-79.56,20,1
ASUS_Z00AD,4548.053967117,-81,-79.7,-79.93,20,1
ASUS_Z00AD,4548.136409044,-80,-80.1,-80.04,20,1
ASUS_Z00AD,4549.032081023,-80,-80.1,-80.29,20,1
ASUS_Z00AD,4550.232882897,-81,-80.9,-81.04,20,1
ASUS_Z00AD,4550.767656647,-83,-81.4,-81.64,20,1
ASUS_Z00AD,4550.999223574,-84,-81.3,-81.73,20,1
ASUS_Z00AD,4553.04568774,-80,-80.9,-82.04,20,1
ASUS_Z00AD,4554.46947951,-82,-81.7,-82.7,20,1
ASUS_Z00AD,4559.771744664,-85,-83.5,-82.83,20,1
ASUS_Z00AD,4560.417580341,-85,-86,-82.86,20,1
ASUS_Z00AD,4560.518832372,-85,-86,-82.85,20,1
ASUS_Z00AD,4561.598378101,-95,-90.5,-82.92,20,1
ASUS_Z00AD,4562.028825861,-92,-91.6,-82.85,20,1
ASUS_Z00AD,4562.280487945,-90,-91.8,-82.8,20,1
ASUS_Z00AD,4562.37097758,-90,-90.5,-82.74,20,1
ASUS_Z00AD,4563.386263517,-82,-88.5,-82.52,20,1
ASUS_Z00AD,4563.716819194,-84,-87.5,-82.45,20,1
ASUS_Z00AD,4564.139712736,-80,-82.4,-82.31,20,1
ASUS_Z00AD,4565.241163829,-82,-80.8,-82.23,20,1
ASUS_Z00AD,4566.362326641,-87,-84.1,-82.03,20,1
ASUS_Z00AD,4566.482189714,-87,-83.5,-81.93,20,1
ASUS_Z00AD,4567.132950547,-76,-80.5,-81.52,20,1
ASUS_Z00AD,4570.391756327,-76,-76.9,-79.68,20,1
ASUS_Z00AD,4570.548392994,-76,-76.4,-79.61,20,1
ASUS_Z00AD,4570.873851535,-77,-76.3,-79.29,20,1
ASUS_Z00AD,4572.266710493,-77,-78.3,-79.14,20,1
ASUS_Z00AD,4573.822715232,-72,-73.9,-78.79,20,1
ASUS_Z00AD,4575.157582315,-75,-74.3,-79.91,20,1
ASUS_Z00AD,4580.194725438,-91,-81.2,-80.37,20,1
ASUS_Z00AD,4580.719288979,-88,-83.1,-80.34,20,1
ASUS_Z00AD,4581.762860854,-80,-81,-80.21,20,1
ASUS_Z00AD,4582.264938302,-78,-80.5,-80.22,20,1
ASUS_Z00AD,4582.599783979,-85,-79.2,-80.36,20,1
ASUS_Z00AD,4583.198698562,-80,-79.8,-79.92,20,1
ASUS_Z00AD,4583.663061009,-86,-80.6,-79.57,20,1
ASUS_Z00AD,4583.951015436,-78,-81.7,-79.39,20,1
ASUS_Z00AD,4584.834723926,-82,-82.2,-79.57,20,1
ASUS_Z00AD,4585.814374654,-93,-89.2,-80.22,20,1
ASUS_Z00AD,4586.696244342,-90,-91.7,-80.34,20,1
ASUS_Z00AD,4587.105315331,-91,-91.5,-80.65,20,1
ASUS_Z00AD,4589.65680132,-78,-78,-80.84,20,1
ASUS_Z00AD,4589.818526892,-78,-78.3,-80.85,20,1
ASUS_Z00AD,4590.784776059,-68,-74,-81.09,20,1
ASUS_Z00AD,4591.784452985,-68,-69.6,-81.94,20,1
ASUS_Z00AD,4592.088663819,-71,-74.2,-82.21,20,1
ASUS_Z00AD,4592.301275642,-82,-77.1,-82.46,20,1
ASUS_Z00AD,4592.427809548,-85,-78.8,-82.56,20,1
ASUS_Z00AD,4592.518184808,-83,-79.9,-82.65,20,1
ASUS_Z00AD,4593.207211058,-86,-82.2,-82.82,20,1
ASUS_Z00AD,4593.306679547,-85,-83,-82.91,20,1
ASUS_Z00AD,4593.938477724,-80,-82.4,-82.77,20,1
ASUS_Z00AD,4594.419923401,-86,-81.3,-82.24,20,1
ASUS_Z00AD,4595.863867151,-90,-82.3,-81.59,20,1
ASUS_Z00AD,4601.564529284,-84,-85.1,-81.86,20,1
ASUS_Z00AD,4602.124023034,-89,-88.4,-81.86,20,1
ASUS_Z00AD,4602.989472304,-90,-91.5,-82.28,20,1
ASUS_Z00AD,4603.792022981,-91,-90.7,-82.98,20,1
ASUS_Z00AD,4603.858862668,-90,-90.8,-83.05,20,1
ASUS_Z00AD,4605.392942199,-80,-81.4,-82.77,20,1
ASUS_Z00AD,4605.696958084,-80,-80.1,-82.72,20,1
ASUS_Z00AD,4606.024096209,-80,-80,-82.61,20,1
ASUS_Z00AD,4606.231840063,-80,-79.9,-82.66,20,1
ASUS_Z00AD,4606.348207667,-79,-79.9,-82.63,20,1
ASUS_Z00AD,4607.268252302,-80,-80.3,-82.25,20,1
ASUS_Z00AD,4607.806521521,-81,-81,-82.2,20,1
ASUS_Z00AD,4608.007862458,-81,-81.2,-82.1,20,1
ASUS_Z00AD,4608.698971312,-80,-79.7,-81.82,20,1
ASUS_Z00AD,4609.030785375,-78,-79.5,-81.69,20,1
ASUS_Z00AD,4609.333464333,-78,-79.1,-81.54,20,1
ASUS_Z00AD,4610.982189228,-79,-79.2,-80.82,20,1
ASUS_Z00AD,4611.972733967,-78,-80.1,-80.53,20,1
ASUS_Z00AD,4612.402950998,-82,-80.2,-80.21,20,1
ASUS_Z00AD,4615.309067247,-76,-79.9,-80.81,20,1
ASUS_Z00AD,4615.533255789,-80,-80,-80.86,20,1
ASUS_Z00AD,4615.982423705,-77,-78.3,-80.69,20,1
ASUS_Z00AD,4616.307886674,-78,-80.7,-80.67,20,1
ASUS_Z00AD,4616.50720433,-82,-81,-80.69,20,1
ASUS_Z00AD,4616.712104382,-95,-81.5,-80.78,20,1
ASUS_Z00AD,4617.738736673,-82,-82.8,-80.9,20,1
ASUS_Z00AD,4617.887035476,-80,-83,-81.07,20,1
ASUS_Z00AD,4618.349837819,-83,-81.7,-81.25,20,1
ASUS_Z00AD,4619.35255761,-79,-81.5,-81.52,20,1
ASUS_Z00AD,4619.561781621,-80,-81.7,-81.62,20,1
ASUS_Z00AD,4620.551444797,-89,-84.2,-82.11,20,1
ASUS_Z00AD,4620.891242141,-87,-83.2,-82.21,20,1
ASUS_Z00AD,4621.741385005,-80,-83.5,-82.32,20,1
ASUS_Z00AD,4622.227981307,-91,-83.1,-82.64,20,1
ASUS_Z00AD,4623.068714744,-82,-81,-82.51,20,1
ASUS_Z00AD,4625.042765577,-84,-84.6,-81.58,20,1
ASUS_Z00AD,4625.360346254,-87,-84.6,-81.62,20,1
ASUS_Z00AD,4627.438818545,-94,-87.8,-80.99,20,1
ASUS_Z00AD,4627.554153441,-93,-88,-80.94,20,1
ASUS_Z00AD,4628.617185055,-80,-85.1,-80.33,20,1
ASUS_Z00AD,4628.730797451,-80,-85,-80.18,20,1
ASUS_Z00AD,4629.601360679,-85,-84,-80.09,20,1
ASUS_Z00AD,4631.802148283,-69,-72.2,-79.28,20,1
ASUS_Z00AD,4631.934283335,-71,-72.4,-79.22,20,1
ASUS_Z00AD,4632.324445991,-76,-75,-79.08,20,1
ASUS_Z00AD,4632.481847293,-75,-76.9,-79.12,20,1
ASUS_Z00AD,4632.568130887,-76,-78.5,-79.18,20,1
ASUS_Z00AD,4632.673084428,-81,-80.2,-79.29,20,1
ASUS_Z00AD,4633.199090522,-88,-81.7,-79.55,20,1
ASUS_Z00AD,4633.477178022,-75,-78.7,-79.62,20,1
ASUS_Z00AD,4633.827436355,-75,-75.2,-79.69,20,1
ASUS_Z00AD,4638.957749842,-75,-72.7,-78.67,20,1
ASUS_Z00AD,4640.299844373,-80,-81,-76.68,20,1
ASUS_Z00AD,4640.828573279,-80,-79.3,-76.06,20,1
ASUS_Z00AD,4641.036543227,-75,-77.8,-75.81,20,1
ASUS_Z00AD,4641.252644008,-75,-75,-75.63,20,1
ASUS_Z00AD,4641.458476821,-72,-73.1,-75.4,20,1
ASUS_Z00AD,4643.007614216,-93,-88.5,-72.7,20,1
ASUS_Z00AD,4643.382853643,-88,-89.1,-71.42,20,1
ASUS_Z00AD,4643.49899333,-86,-87.7,-71.07,20,1
ASUS_Z00AD,4643.604003434,-84,-86.1,-70.76,20,1
ASUS_Z00AD,4645.454526611,-78,-71.9,-68.05,20,1
ASUS_Z00AD,4645.802966454,-68,-66,-67.71,20,1
ASUS_Z00AD,4645.888339684,-66,-65.1,-67.61,20,1
ASUS_Z00AD,4646.317970465,-61,-65.4,-66.66,20,1
ASUS_Z00AD,4646.681651715,-72,-66.4,-66.11,20,1
ASUS_Z00AD,4647.759213277,-65,-63.2,-64.17,20,1
ASUS_Z00AD,4647.982431297,-59,-58.6,-63.62,20,1
N8,4668.32745061,-51,-51.4,-62.68,20,1
N8,4668.435015743,-52,-49.3,-62.46,20,1
N8,4668.648648424,-43,-48.1,-61.66,20,1
N8,4669.097068992,-47,-48.6,-61.04,20,1
N8,4669.591245413,-54,-50.6,-59.28,20,1
N8,4669.896392891,-46,-49.4,-58.65,20,1
N8,4670.327647317,-45,-50.2,-57.85,20,1
N8,4670.42511031,-54,-52.4,-57.64,20,1
N8,4670.789453341,-61,-60.7,-57.18,20,1
N8,4671.362597744,-54,-55.7,-57.28,20,1
N8,4671.381863405,-52,-54.8,-57.26,20,1
N8,4671.903923769,-49,-51.6,-56.99,20,1
N8,4672.099662388,-45,-48.8,-57.27,20,1
N8,4672.65360524,-52,-52,-58.46,20,1
N8,4672.861970626,-59,-55.3,-59.08,20,1
N8,4673.031691276,-58,-60.9,-59.45,20,1
N8,4673.079139161,-63,-62.4,-59.54,20,1
N8,4673.293620772,-67,-64.2,-59.71,20,1
N8,4673.677557193,-59,-66.4,-60.57,20,1
N8,4673.751816725,-64,-66.2,-60.73,20,1
N8,4674.827934868,-63,-63.9,-61.17,20,1
N8,4674.96423416,-61,-64,-61.37,20,1
N8,4675.052863776,-66,-65.4,-61.44,20,1
N8,4675.917867099,-61,-64.6,-63.42,20,1
N8,4676.153529203,-63,-63.3,-63.92,20,1
N8,4676.31706418,-63,-62.5,-64.1,20,1
N8,4676.568385107,-62,-61.9,-64.16,20,1
N8,4676.890796287,-61,-61.1,-63.71,20,1
N8,4677.264365508,-61,-60.7,-63.43,20,1
N8,4678.849241023,-62,-61.6,-63.12,20,1
N8,4678.901287778,-62,-61.7,-63.18,20,1
N8,4679.067817298,-62,-62.1,-63.26,20,1
N8,4680.582573221,-65,-64.3,-62.1,20,1
N8,4681.026608824,-62,-62.9,-62.04,20,1
N8,4682.028073782,-62,-62.5,-62.16,20,1
N8,4682.035112136,-62,-62.9,-62.22,20,1
N8,4683.689401713,-66,-63.9,-63.94,20,1
N8,4684.477837079,-61,-60.2,-64.55,20,1
N8,4684.749733787,-60,-60.4,-64.48,20,1
N8,4684.953082947,-60,-60.5,-64.62,20,1
N8,4685.008293993,-61,-60.8,-64.68,20,1
N8,4685.060638224,-60,-61.1,-64.73,20,1
N8,4685.192046915,-62,-61.9,-64.89,20,1
N8,4685.480765799,-64,-63.4,-65.03,20,1
N8,4685.837936342,-70,-69.4,-65.23,20,1
N8,4686.266361849,-75,-72.5,-65.38,20,1
N8,4686.702492224,-72,-72.4,-65.49,20,1
N8,4686.804389437,-70,-72.3,-65.55,20,1
N8,4687.255621891,-74,-71.6,-65.62,20,1
N8,4689.041931866,-72,-68.9,-65.84,20,1
N8,4689.384754597,-64,-64.6,-66.21,20,1
