device,elapsed,rss,mRSS10,mRSS100,dist,label
ASUS_Z00AD,4540.717079932,-74,-75.1,-78,20,1
ASUS_Z00AD,4540.800508317,-73,-74.8,-77.96,20,1
ASUS_Z00AD,4540.939616599,-73,-74.7,-77.98,20,1
ASUS_Z00AD,4541.049139828,-74,-74.8,-77.84,20,1
ASUS_Z00AD,4541.147592796,-74,-75.3,-77.8,20,1
ASUS_Z00AD,4541.249991859,-75,-76.1,-77.8,20,1
ASUS_Z00AD,4541.473540661,-76,-77,-77.71,20,1
ASUS_Z00AD,4541.573825036,-77,-77.9,-77.67,20,1
ASUS_Z00AD,4542.014520921,-83,-80.1,-77.66,20,1
ASUS_Z00AD,4542.140772379,-82,-80.6,-77.63,20,1
ASUS_Z00AD,4542.250918369,-82,-80.8,-77.65,20,1
ASUS_Z00AD,4542.346611494,-81,-80.8,-77.68,20,1
ASUS_Z00AD,4542.566132796,-80,-79.5,-77.74,20,1
ASUS_Z00AD,4542.686029098,-78,-78.7,-77.8,20,1
ASUS_Z00AD,4542.800720244,-77,-78.5,-77.85,20,1
ASUS_Z00AD,4542.894700712,-76,-78.3,-77.91,20,1
ASUS_Z00AD,4543.004793421,-76,-78.2,-77.97,20,1
ASUS_Z00AD,4543.224934619,-80,-77.7,-78.05,20,1
ASUS_Z00AD,4543.340920296,-80,-77.6,-78.09,20,1
ASUS_Z00AD,4543.441171702,-80,-77.5,-78.16,20,1
ASUS_Z00AD,4543.566484358,-78,-77.7,-78.24,20,1
ASUS_Z00AD,4543.658675868,-77,-78.3,-78.32,20,1
ASUS_Z00AD,4543.804227379,-77,-80,-78.36,20,1
ASUS_Z00AD,4543.88236316,-76,-80.3,-78.4,20,1
ASUS_Z00AD,4544.092071181,-78,-80.3,-78.44,20,1
ASUS_Z00AD,4544.209153941,-82,-80.1,-78.49,20,1
ASUS_Z00AD,4544.432911181,-92,-80.1,-78.54,20,1
ASUS_Z00AD,4544.538896962,-83,-80.2,-78.61,20,1
ASUS_Z00AD,4544.657446441,-80,-80.7,-78.65,20,1
ASUS_Z00AD,4544.872203368,-78,-80.9,-78.72,20,1
ASUS_Z00AD,4545.311663264,-80,-77.9,-78.85,20,1
ASUS_Z00AD,4545.636577326,-76,-77.1,-78.99,20,1
ASUS_Z00AD,4545.761894045,-76,-76.9,-79.05,20,1
ASUS_Z00AD,4546.197021805,-76,-76.3,-79.1,20,1
ASUS_Z00AD,4546.28979618,-76,-75.9,-79.13,20,1
ASUS_Z00AD,4546.397730711,-76,-75.9,-79.15,20,1
ASUS_Z00AD,4546.513407742,-76,-76,-79.18,20,1
ASUS_Z00AD,4546.739275971,-76,-76,-79.22,20,1
ASUS_Z00AD,4547.052649669,-76,-77.2,-79.37,20,1
ASUS_Z00AD,4547.177950346,-76,-77.6,-79.41,20,1
ASUS_Z00AD,4547.27338868,-80,-78.1,-79.48,20,1
ASUS_Z00AD,4547.492444617,-80,-78.9,-79.68,20,1
ASUS_Z00AD,4547.590777482,-80,-79.3,-79.8,20,1
ASUS_Z00AD,4548.241275919,-80,-80.1,-80.15,20,1
ASUS_Z00AD,4548.700495502,-80,-80.1,-80.24,20,1
ASUS_Z00AD,4549.131488991,-80,-80.1,-80.29,20,1
ASUS_Z00AD,4549.255660189,-80,-80.2,-80.31,20,1
ASUS_Z00AD,4549.381448575,-80,-80.3,-80.34,20,1
ASUS_Z00AD,4549.467556179,-80,-80.4,-80.4,20,1
ASUS_Z00AD,4549.587061387,-80,-80.5,-80.45,20,1
ASUS_Z00AD,4549.925544408,-82,-80.5,-80.6,20,1
ASUS_Z00AD,4550.01090571,-81,-80.5,-80.73,20,1
ASUS_Z00AD,4550.109520241,-81,-80.6,-80.9,20,1
ASUS_Z00AD,4550.342095866,-80,-81.3,-81.2,20,1
ASUS_Z00AD,4550.437321803,-80,-81.7,-81.34,20,1
ASUS_Z00AD,4550.654910449,-81,-81.5,-81.49,20,1
ASUS_Z00AD,4551.10738748,-84,-81.2,-81.81,20,1
ASUS_Z00AD,4551.428615449,-80,-81.2,-81.85,20,1
ASUS_Z00AD,4551.53947748,-80,-81.4,-81.92,20,1
ASUS_Z00AD,4551.664142167,-80,-81.3,-82,20,1
ASUS_Z00AD,4551.881764303,-80,-81,-82.16,20,1
ASUS_Z00AD,4551.982507532,-80,-80.6,-82.28,20,1
ASUS_Z00AD,4552.212758105,-82,-80.4,-82.26,20,1
ASUS_Z00AD,4552.318833886,-80,-80.5,-82.07,20,1
ASUS_Z00AD,4552.415432428,-80,-80.5,-81.98,20,1
ASUS_Z00AD,4552.643380657,-80,-80.6,-82.01,20,1
ASUS_Z00AD,4552.754023469,-82,-80.8,-82.04,20,1
ASUS_Z00AD,4552.985002896,-81,-80.9,-82,20,1
ASUS_Z00AD,4553.254198834,-81,-81.1,-82.03,20,1
ASUS_Z00AD,4553.354764198,-82,-81.3,-82.05,20,1
ASUS_Z00AD,4553.478573469,-81,-81.6,-82.19,20,1
ASUS_Z00AD,4553.598606958,-82,-81.6,-82.32,20,1
ASUS_Z00AD,4553.69086826,-82,-81.7,-82.43,20,1
ASUS_Z00AD,4553.79920925,-82,-81.9,-82.54,20,1
ASUS_Z00AD,4553.944342896,-83,-81.9,-82.62,20,1
ASUS_Z00AD,4554.372862531,-82,-81.7,-82.68,20,1
ASUS_Z00AD,4554.602766073,-82,-81.6,-82.7,20,1
ASUS_Z00AD,4554.707143885,-81,-81.5,-82.7,20,1
ASUS_Z00AD,4555.019115343,-80,-81.8,-82.74,20,1
ASUS_Z00AD,4555.144919874,-81,-82.1,-82.78,20,1
ASUS_Z00AD,4555.254554718,-81,-82.6,-82.77,20,1
ASUS_Z00AD,4555.356052322,-81,-83,-82.82,20,1
ASUS_Z00AD,4559.869879143,-86,-84,-82.8,20,1
ASUS_Z00AD,4559.963199039,-87,-84.5,-82.88,20,1
ASUS_Z00AD,4560.096287789,-86,-84.9,-82.85,20,1
ASUS_Z00AD,4560.183914768,-87,-85.3,-82.78,20,1
ASUS_Z00AD,4560.289615185,-86,-85.7,-82.8,20,1
ASUS_Z00AD,4560.621277633,-85,-86.8,-82.83,20,1
ASUS_Z00AD,4560.731573466,-85,-87.5,-82.8,20,1
ASUS_Z00AD,4560.937054091,-88,-88.3,-82.78,20,1
ASUS_Z00AD,4561.168441122,-86,-88.8,-82.77,20,1
ASUS_Z00AD,4561.399100653,-95,-89.5,-82.77,20,1
ASUS_Z00AD,4561.498829768,-93,-90,-82.93,20,1
ASUS_Z00AD,4561.923455341,-91,-91.5,-82.88,20,1
ASUS_Z00AD,4562.582834924,-95,-89.6,-82.7,20,1
ASUS_Z00AD,4562.81934383,-89,-88.6,-82.65,20,1
ASUS_Z00AD,4562.913529246,-88,-88.7,-82.6,20,1
ASUS_Z00AD,4563.816160704,-85,-85.8,-82.41,20,1
ASUS_Z00AD,4563.950765079,-92,-83.7,-82.37,20,1
ASUS_Z00AD,4564.03472034,-90,-83.1,-82.34,20,1
ASUS_Z00AD,4564.370401642,-73,-81.6,-82.29,20,1
ASUS_Z00AD,4564.465066069,-74,-81.4,-82.25,20,1
ASUS_Z00AD,4564.584323413,-83,-81,-82.25,20,1
ASUS_Z00AD,4564.701571746,-81,-80,-82.21,20,1
ASUS_Z00AD,4564.815698412,-74,-80,-82.27,20,1
ASUS_Z00AD,4565.376900391,-81,-82.2,-82.19,20,1
ASUS_Z00AD,4565.485648881,-82,-83.5,-82.15,20,1
ASUS_Z00AD,4565.933791277,-90,-83.6,-82.14,20,1
ASUS_Z00AD,4566.024524089,-88,-83.7,-82.11,20,1
ASUS_Z00AD,4566.708060287,-84,-83,-81.83,20,1
ASUS_Z00AD,4566.797823828,-82,-82.8,-81.73,20,1
ASUS_Z00AD,4567.033940599,-78,-81.8,-81.62,20,1
ASUS_Z00AD,4567.228961537,-76,-79.9,-81.43,20,1
ASUS_Z00AD,4567.492228568,-80,-79.3,-81.35,20,1
ASUS_Z00AD,4567.702136016,-80,-78.6,-81.29,20,1
ASUS_Z00AD,4567.838922213,-75,-79.2,-81.24,20,1
ASUS_Z00AD,4567.945859713,-81,-79.1,-81.17,20,1
ASUS_Z00AD,4568.016418672,-81,-78.9,-81.08,20,1
ASUS_Z00AD,4568.127413411,-77,-79.5,-81,20,1
ASUS_Z00AD,4568.263954244,-88,-80.1,-80.9,20,1
ASUS_Z00AD,4568.368536484,-77,-80,-80.79,20,1
ASUS_Z00AD,4568.466754505,-74,-80.3,-80.68,20,1
ASUS_Z00AD,4568.579950026,-82,-79.9,-80.56,20,1
ASUS_Z00AD,4568.690687369,-86,-79.6,-80.44,20,1
ASUS_Z00AD,4568.819971588,-79,-79.8,-80.32,20,1
ASUS_Z00AD,4568.896109869,-78,-79,-80.38,20,1
ASUS_Z00AD,4569.027953567,-77,-80.9,-80.31,20,1
ASUS_Z00AD,4569.117335494,-78,-81.6,-80.35,20,1
ASUS_Z00AD,4569.243166484,-79,-81.1,-80.42,20,1
ASUS_Z00AD,4569.340606223,-80,-80.3,-80.42,20,1
ASUS_Z00AD,4569.551624036,-96,-80,-80.36,20,1
ASUS_Z00AD,4569.660205598,-81,-79.6,-80.17,20,1
ASUS_Z00AD,4569.782232108,-77,-79.5,-80.12,20,1
ASUS_Z00AD,4569.997045077,-78,-79.3,-79.92,20,1
ASUS_Z00AD,4570.084086223,-76,-79.2,-79.83,20,1
ASUS_Z00AD,4570.190144817,-74,-78.8,-79.73,20,1
ASUS_Z00AD,4570.622389921,-78,-76.3,-79.46,20,1
ASUS_Z00AD,4570.7499844,-76,-76.2,-79.39,20,1
ASUS_Z00AD,4570.9735344,-76,-76.7,-79.25,20,1
ASUS_Z00AD,4571.097002056,-76,-76.9,-79.26,20,1
ASUS_Z00AD,4571.202602993,-77,-77.3,-79.17,20,1
ASUS_Z00AD,4571.312839347,-77,-77.1,-79.01,20,1
ASUS_Z00AD,4571.416537941,-78,-78.1,-78.87,20,1
ASUS_Z00AD,4571.497760962,-78,-78.2,-78.85,20,1
ASUS_Z00AD,4571.624257264,-80,-78.3,-78.91,20,1
ASUS_Z00AD,4571.731909712,-76,-78.3,-78.97,20,1
ASUS_Z00AD,4571.82064867,-86,-78.6,-79,20,1
ASUS_Z00AD,4572.158758878,-78,-78.8,-79.02,20,1
ASUS_Z00AD,4572.489367316,-76,-77.7,-79.1,20,1
ASUS_Z00AD,4572.606797628,-80,-76.9,-79.07,20,1
ASUS_Z00AD,4572.853930701,-79,-76.5,-79.03,20,1
ASUS_Z00AD,4573.194126274,-73,-75.1,-78.93,20,1
ASUS_Z00AD,4573.51550742,-72,-74.5,-78.88,20,1
ASUS_Z00AD,4573.613154347,-72,-74.1,-78.84,20,1
ASUS_Z00AD,4573.936268826,-72,-73.4,-78.75,20,1
ASUS_Z00AD,4574.179757315,-72,-73,-78.76,20,1
ASUS_Z00AD,4574.280562055,-73,-73.1,-78.83,20,1
ASUS_Z00AD,4574.373593253,-74,-73.1,-78.97,20,1
ASUS_Z00AD,4574.485859919,-75,-73.2,-79.1,20,1
ASUS_Z00AD,4574.596785284,-75,-73.5,-79.23,20,1
ASUS_Z00AD,4574.736644242,-74,-73.8,-79.37,20,1
ASUS_Z00AD,4574.824738252,-72,-74.2,-79.58,20,1
ASUS_Z00AD,4574.926842679,-73,-74.3,-79.67,20,1
ASUS_Z00AD,4575.064679138,-75,-74.4,-79.78,20,1
ASUS_Z00AD,4575.386203408,-76,-75.9,-79.94,20,1
ASUS_Z00AD,4575.591907783,-74,-76.3,-80.09,20,1
ASUS_Z00AD,4575.820551481,-75,-78,-80.26,20,1
ASUS_Z00AD,4575.913841169,-74,-79.9,-80.35,20,1
ASUS_Z00AD,4580.290637157,-78,-81.7,-80.36,20,1
ASUS_Z00AD,4580.508011375,-89,-81.7,-80.36,20,1
ASUS_Z00AD,4580.608206583,-92,-83.1,-80.35,20,1
ASUS_Z00AD,4580.86254351,-80,-83.9,-80.34,20,1
ASUS_Z00AD,4580.95613299,-76,-83,-80.32,20,1
ASUS_Z00AD,4581.059310333,-88,-83.7,-80.15,20,1
ASUS_Z00AD,4581.187799135,-75,-83.1,-80.12,20,1
ASUS_Z00AD,4581.284221844,-82,-81.9,-80.13,20,1
ASUS_Z00AD,4581.394605073,-82,-81.3,-80.13,20,1
ASUS_Z00AD,4581.515499656,-85,-81.1,-80.15,20,1
ASUS_Z00AD,4581.595814396,-83,-81.3,-80.19,20,1
ASUS_Z00AD,4581.847220177,-82,-81.1,-80.23,20,1
ASUS_Z00AD,4582.363916947,-78,-79.9,-80.27,20,1
ASUS_Z00AD,4582.718515801,-76,-78.8,-80.39,20,1
ASUS_Z00AD,4582.801612572,-76,-78.8,-80.31,20,1
ASUS_Z00AD,4582.903787103,-76,-79.2,-80.21,20,1
ASUS_Z00AD,4583.016182051,-78,-79.7,-80.11,20,1
ASUS_Z00AD,4583.103313301,-79,-80.5,-80.01,20,1
ASUS_Z00AD,4583.317876999,-86,-80,-79.82,20,1
ASUS_Z00AD,4583.414426166,-83,-80.2,-79.75,20,1
ASUS_Z00AD,4583.770375228,-78,-81.1,-79.52,20,1
ASUS_Z00AD,4583.848362624,-78,-81.5,-79.44,20,1
ASUS_Z00AD,4584.083291947,-80,-81.1,-79.31,20,1
ASUS_Z00AD,4584.38578778,-83,-81.1,-79.34,20,1
ASUS_Z00AD,4584.725660072,-83,-81,-79.46,20,1
ASUS_Z00AD,4584.943629759,-80,-83.3,-79.67,20,1
ASUS_Z00AD,4585.148271009,-83,-84.8,-79.81,20,1
ASUS_Z00AD,4585.477069759,-85,-86.2,-79.94,20,1
ASUS_Z00AD,4585.593245592,-90,-87.5,-80.06,20,1
ASUS_Z00AD,4585.703686477,-89,-88.2,-80.15,20,1
ASUS_Z00AD,4585.904998092,-94,-90.2,-80.27,20,1
ASUS_Z00AD,4586.014514134,-96,-91,-80.3,20,1
ASUS_Z00AD,4586.786814914,-92,-91.8,-80.46,20,1
ASUS_Z00AD,4586.912240331,-90,-92,-80.59,20,1
ASUS_Z00AD,4587.248733456,-92,-89.9,-80.79,20,1
ASUS_Z00AD,4587.476152362,-91,-88.1,-80.81,20,1
ASUS_Z00AD,4587.778876268,-91,-86.7,-80.85,20,1
ASUS_Z00AD,4588.018398039,-88,-85.2,-80.9,20,1
ASUS_Z00AD,4588.216279862,-78,-84.1,-80.98,20,1
ASUS_Z00AD,4588.322529601,-78,-82.8,-80.87,20,1
ASUS_Z00AD,4588.423340122,-76,-81.5,-80.87,20,1
ASUS_Z00AD,4588.546646424,-77,-80.2,-80.75,20,1
ASUS_Z00AD,4588.911301059,-79,-78.9,-80.71,20,1
ASUS_Z00AD,4589.124000799,-78,-77.9,-80.73,20,1
ASUS_Z00AD,4589.225591789,-79,-77.9,-80.77,20,1
ASUS_Z00AD,4589.336847986,-78,-77.9,-80.82,20,1
ASUS_Z00AD,4589.458769757,-78,-78.1,-80.76,20,1
ASUS_Z00AD,4589.571176736,-78,-78.2,-80.82,20,1
ASUS_Z00AD,4589.889174236,-78,-79,-80.84,20,1
ASUS_Z00AD,4590.135753872,-78,-79.1,-80.84,20,1
ASUS_Z00AD,4590.222199757,-77,-78.1,-80.88,20,1
ASUS_Z00AD,4590.316248455,-81,-77,-80.9,20,1
ASUS_Z00AD,4590.450337465,-86,-75.9,-80.95,20,1
ASUS_Z00AD,4590.549432726,-79,-74.9,-80.99,20,1
ASUS_Z00AD,4590.904255902,-67,-73.2,-81.22,20,1
ASUS_Z00AD,4590.973818455,-67,-72.4,-81.39,20,1
ASUS_Z00AD,4591.250818507,-68,-71.1,-81.54,20,1
ASUS_Z00AD,4591.335382569,-69,-69.8,-81.69,20,1
ASUS_Z00AD,4591.565218142,-70,-68.8,-81.8,20,1
ASUS_Z00AD,4591.650718975,-69,-69.1,-81.92,20,1
ASUS_Z00AD,4591.878976683,-73,-71.1,-82.03,20,1
ASUS_Z00AD,4592.014928506,-69,-72.8,-82.09,20,1
ASUS_Z00AD,4592.217274548,-72,-75.4,-82.33,20,1
ASUS_Z00AD,4592.73834986,-82,-81.2,-82.74,20,1
ASUS_Z00AD,4593.629812672,-84,-82.6,-82.99,20,1
ASUS_Z00AD,4593.735984964,-82,-81.9,-82.96,20,1
ASUS_Z00AD,4593.845540901,-81,-82,-82.86,20,1
ASUS_Z00AD,4594.090857308,-78,-81.9,-82.64,20,1
ASUS_Z00AD,4594.178107255,-78,-82.3,-82.5,20,1
ASUS_Z00AD,4594.275521578,-84,-81.7,-82.34,20,1
ASUS_Z00AD,4594.495166526,-81,-81.2,-82.12,20,1
ASUS_Z00AD,4594.604371682,-89,-81.4,-82.03,20,1
ASUS_Z00AD,4594.736149391,-78,-81.6,-81.92,20,1
ASUS_Z00AD,4594.853091838,-78,-81.6,-81.8,20,1
ASUS_Z00AD,4594.941013088,-80,-80.9,-81.69,20,1
ASUS_Z00AD,4595.181869026,-82,-81.1,-81.58,20,1
ASUS_Z00AD,4595.284082359,-80,-82,-81.49,20,1
ASUS_Z00AD,4595.396398401,-78,-81.5,-81.51,20,1
ASUS_Z00AD,4595.511073713,-77,-81.8,-81.52,20,1
ASUS_Z00AD,4595.733500119,-88,-82.2,-81.56,20,1
ASUS_Z00AD,4595.923140067,-84,-82.5,-81.6,20,1
ASUS_Z00AD,4596.149638296,-81,-82.8,-81.62,20,1
ASUS_Z00AD,4596.251405015,-82,-83.4,-81.63,20,1
ASUS_Z00AD,4596.363388609,-81,-84,-81.66,20,1
ASUS_Z00AD,4600.587921524,-84,-83.6,-81.69,20,1
ASUS_Z00AD,4600.98964543,-83,-83,-81.73,20,1
ASUS_Z00AD,4601.097456784,-84,-82.9,-81.76,20,1
ASUS_Z00AD,4601.21814444,-83,-83,-81.8,20,1
ASUS_Z00AD,4601.457727201,-84,-84.3,-81.83,20,1
ASUS_Z00AD,4601.696991107,-83,-86,-81.9,20,1
ASUS_Z00AD,4601.795878815,-82,-86.8,-81.91,20,1
ASUS_Z00AD,4601.98496793,-95,-87.7,-81.85,20,1
ASUS_Z00AD,4602.3490472,-93,-89.2,-81.96,20,1
ASUS_Z00AD,4602.536634752,-91,-89.6,-82.07,20,1
ASUS_Z00AD,4602.739572825,-93,-90.5,-82.18,20,1
ASUS_Z00AD,4603.080405742,-92,-91,-82.38,20,1
ASUS_Z00AD,4603.125846471,-88,-91.1,-82.48,20,1
ASUS_Z00AD,4603.187462564,-92,-90.9,-82.59,20,1
ASUS_Z00AD,4603.414390741,-92,-90.8,-82.71,20,1
ASUS_Z00AD,4603.536825898,-90,-90.7,-82.77,20,1
ASUS_Z00AD,4603.645173971,-90,-90.9,-82.88,20,1
ASUS_Z00AD,4603.95422772,-92,-90.7,-83.01,20,1
ASUS_Z00AD,4604.064300533,-92,-89.7,-82.94,20,1
ASUS_Z00AD,4604.197021106,-90,-88.7,-82.89,20,1
ASUS_Z00AD,4604.428290272,-89,-87.7,-82.86,20,1
ASUS_Z00AD,4604.534961835,-91,-86.6,-82.81,20,1
ASUS_Z00AD,4604.625635064,-82,-85.6,-82.78,20,1
ASUS_Z00AD,4604.953148033,-80,-84.4,-82.79,20,1
ASUS_Z00AD,4605.04609897,-80,-83.2,-82.78,20,1
ASUS_Z00AD,4605.148402147,-80,-82.2,-82.77,20,1
ASUS_Z00AD,4605.479186678,-80,-80.3,-82.78,20,1
ASUS_Z00AD,4605.587482616,-80,-80.1,-82.78,20,1
ASUS_Z00AD,4605.798400532,-81,-80.1,-82.68,20,1
ASUS_Z00AD,4605.902510845,-80,-80,-82.68,20,1
ASUS_Z00AD,4606.136184543,-80,-79.9,-82.64,20,1
ASUS_Z00AD,4606.453792251,-80,-79.8,-82.57,20,1
ASUS_Z00AD,4606.603228553,-79,-79.8,-82.51,20,1
ASUS_Z00AD,4606.834922459,-80,-79.8,-82.47,20,1
ASUS_Z00AD,4606.956369021,-80,-79.9,-82.45,20,1
ASUS_Z00AD,4607.029230636,-80,-80,-82.33,20,1
ASUS_Z00AD,4607.368524021,-80,-80.4,-82.35,20,1
ASUS_Z00AD,4607.465583396,-81,-80.7,-82.34,20,1
ASUS_Z00AD,4607.591192615,-81,-80.8,-82.29,20,1
ASUS_Z00AD,4607.693190896,-82,-80.9,-82.24,20,1
ASUS_Z00AD,4607.912084125,-82,-81.2,-82.16,20,1
ASUS_Z00AD,4608.137311417,-81,-81.1,-82.04,20,1
ASUS_Z00AD,4608.231766938,-81,-80.8,-81.97,20,1
ASUS_Z00AD,4608.328658448,-82,-80.4,-81.9,20,1
ASUS_Z00AD,4608.441474437,-80,-80.1,-81.85,20,1
ASUS_Z00AD,4609.150702666,-78,-79.4,-81.65,20,1
ASUS_Z00AD,4609.241939698,-78,-79.3,-81.67,20,1
ASUS_Z00AD,4609.456564333,-79,-79,-81.43,20,1
ASUS_Z00AD,4609.881426833,-80,-79,-81.32,20,1
ASUS_Z00AD,4609.988717718,-80,-79.3,-81.2,20,1
ASUS_Z00AD,4610.207390478,-80,-79.4,-81.21,20,1
ASUS_Z00AD,4610.295080166,-79,-79.4,-81.08,20,1
ASUS_Z00AD,4610.424290895,-80,-79.4,-80.96,20,1
ASUS_Z00AD,4610.530578707,-81,-79.3,-80.89,20,1
ASUS_Z00AD,4611.093144176,-78,-79.3,-80.72,20,1
ASUS_Z00AD,4611.439120999,-78,-79.5,-80.64,20,1
ASUS_Z00AD,4612.086414853,-79,-80.2,-80.44,20,1
ASUS_Z00AD,4612.296476259,-81,-80.1,-80.31,20,1
ASUS_Z00AD,4612.598931363,-85,-80.3,-80.08,20,1
ASUS_Z00AD,4612.818870373,-81,-80.3,-80.06,20,1
ASUS_Z00AD,4612.957866832,-80,-80.3,-80.14,20,1
ASUS_Z00AD,4613.039785686,-80,-80.6,-80.2,20,1
ASUS_Z00AD,4613.185748811,-79,-80.6,-80.23,20,1
ASUS_Z00AD,4613.238956154,-78,-80.6,-80.25,20,1
ASUS_Z00AD,4613.452222977,-78,-80.2,-80.34,20,1
ASUS_Z00AD,4613.566139436,-82,-80.1,-80.38,20,1
ASUS_Z00AD,4613.679299696,-81,-79.8,-80.45,20,1
ASUS_Z00AD,4613.779231883,-82,-79.4,-80.48,20,1
ASUS_Z00AD,4613.9022248,-81,-78.9,-80.47,20,1
ASUS_Z00AD,4613.971289487,-80,-78.5,-80.41,20,1
ASUS_Z00AD,4614.083046362,-77,-78.2,-80.45,20,1
ASUS_Z00AD,4614.194323394,-76,-77.6,-80.45,20,1
ASUS_Z00AD,4614.310720008,-74,-77.7,-80.52,20,1
ASUS_Z00AD,4614.433193706,-74,-78.9,-80.63,20,1
ASUS_Z00AD,4614.518493966,-75,-78.8,-80.7,20,1
ASUS_Z00AD,4614.639124279,-76,-78.5,-80.74,20,1
ASUS_Z00AD,4614.766066414,-82,-78.4,-80.79,20,1
ASUS_Z00AD,4614.846564383,-94,-78.8,-80.81,20,1
ASUS_Z00AD,4615.076253862,-80,-79.3,-80.81,20,1
ASUS_Z00AD,4615.186623966,-77,-79.7,-80.8,20,1
ASUS_Z00AD,4615.617169174,-79,-79.5,-80.82,20,1
ASUS_Z00AD,4615.736091049,-78,-77.9,-80.79,20,1
ASUS_Z00AD,4615.863909643,-77,-77.8,-80.73,20,1
ASUS_Z00AD,4616.068366726,-77,-79.2,-80.67,20,1
ASUS_Z00AD,4616.40358907,-79,-80.6,-80.67,20,1
ASUS_Z00AD,4616.62748183,-85,-81.2,-80.72,20,1
ASUS_Z00AD,4617.585185528,-78,-82.7,-80.84,20,1
ASUS_Z00AD,4617.798147559,-79,-82.9,-80.99,20,1
ASUS_Z00AD,4618.021318809,-89,-82.8,-81.13,20,1
ASUS_Z00AD,4618.111732923,-79,-81.4,-81.2,20,1
ASUS_Z00AD,4618.249826934,-80,-81.8,-81.23,20,1
ASUS_Z00AD,4618.4406261,-83,-82.1,-81.26,20,1
ASUS_Z00AD,4618.548103288,-81,-81.8,-81.25,20,1
ASUS_Z00AD,4618.666986881,-82,-80.8,-81.31,20,1
ASUS_Z00AD,4618.916198288,-81,-80.7,-81.36,20,1
ASUS_Z00AD,4619.018796308,-83,-80.7,-81.42,20,1
ASUS_Z00AD,4619.105839538,-77,-81.2,-81.48,20,1
ASUS_Z00AD,4619.458734746,-78,-81.7,-81.55,20,1
ASUS_Z00AD,4619.648511673,-88,-82.5,-81.71,20,1
ASUS_Z00AD,4619.909062975,-86,-82.6,-81.83,20,1
ASUS_Z00AD,4619.982952298,-83,-83.6,-81.93,20,1
ASUS_Z00AD,4620.216877037,-82,-84.1,-82.01,20,1
ASUS_Z00AD,4620.672758599,-84,-83.6,-82.19,20,1
ASUS_Z00AD,4621.013760995,-84,-82.6,-82.19,20,1
ASUS_Z00AD,4621.216181412,-79,-82.9,-82.16,20,1
ASUS_Z00AD,4621.325064276,-74,-83.8,-82.12,20,1
ASUS_Z00AD,4621.547049172,-84,-83.5,-82.2,20,1
ASUS_Z00AD,4621.988624953,-86,-83.3,-82.55,20,1
ASUS_Z00AD,4622.399357661,-86,-83.2,-82.7,20,1
ASUS_Z00AD,4622.510812036,-84,-83.7,-82.74,20,1
ASUS_Z00AD,4622.638971776,-85,-83.5,-82.77,20,1
ASUS_Z00AD,4622.772332869,-82,-84.1,-82.83,20,1
ASUS_Z00AD,4622.849992453,-80,-83.3,-82.78,20,1
ASUS_Z00AD,4622.963320005,-79,-82,-82.55,20,1
ASUS_Z00AD,4623.175699171,-86,-80.3,-82.48,20,1
ASUS_Z00AD,4623.405012869,-78,-79.7,-82.45,20,1
ASUS_Z00AD,4623.474300057,-78,-79.6,-82.38,20,1
ASUS_Z00AD,4623.579314171,-76,-79.8,-82.31,20,1
ASUS_Z00AD,4623.681995525,-77,-80.1,-82.22,20,1
ASUS_Z00AD,4623.785276098,-79,-80.2,-82.14,20,1
ASUS_Z00AD,4623.91774589,-81,-80,-82.06,20,1
ASUS_Z00AD,4624.341117921,-82,-80.6,-82,20,1
ASUS_Z00AD,4624.461953442,-82,-81.2,-81.95,20,1
ASUS_Z00AD,4624.708900473,-83,-82.3,-81.93,20,1
