device,elapsed,rss,mRSS10,mRSS100,dist,label
gryphonelab,22755.589979652,-85,-87.5,-89.98,20,1
gryphonelab,22755.796937412,-94,-89.2,-89.98,20,1
gryphonelab,22756.011436006,-93,-91.5,-90.02,20,1
gryphonelab,22756.685248453,-86,-88.2,-90.1,20,1
gryphonelab,22756.80090538,-84,-86.9,-90.05,20,1
gryphonelab,22757.523304599,-80,-83.7,-89.99,20,1
gryphonelab,22757.617801318,-79,-82.6,-89.95,20,1
gryphonelab,22757.842649078,-81,-81,-89.85,20,1
gryphonelab,22758.374985015,-82,-84.4,-89.74,20,1
gryphonelab,22759.013404182,-100,-84.4,-89.7,20,1
gryphonelab,22759.346871109,-80,-84.1,-89.98,20,1
gryphonelab,22759.431171629,-79,-84.1,-90.03,20,1
gryphonelab,22760.837035431,-92,-87.8,-90.9,20,1
gryphonelab,22761.258742462,-95,-92.4,-91.09,20,1
gryphonelab,22763.267706263,-98,-99,-91.89,20,1
gryphonelab,22764.100377669,-95,-97.3,-92.61,20,1
gryphonelab,22764.211299753,-95,-97.4,-92.71,20,1
gryphonelab,22764.746771419,-102,-99.4,-93.07,20,1
gryphonelab,22764.951495013,-102,-100.1,-93.15,20,1
gryphonelab,22765.388129492,-101,-100.1,-93.38,20,1
gryphonelab,22766.138581418,-96,-96.1,-93.79,20,1
gryphonelab,22766.469166783,-96,-93.5,-94.06,20,1
gryphonelab,22767.824104022,-92,-91.7,-92.97,20,1
gryphonelab,22770.186912823,-92,-92.8,-90.25,20,1
gryphonelab,22770.397344958,-92,-92.5,-90.06,20,1
gryphonelab,22770.616490167,-93,-92.3,-90.18,20,1
gryphonelab,22771.038264646,-93,-91.7,-90.21,20,1
gryphonelab,22771.458517406,-88,-89.8,-90.17,20,1
gryphonelab,22771.527617198,-91,-89.1,-90.17,20,1
gryphonelab,22771.933193812,-86,-87.7,-90.23,20,1
gryphonelab,22772.109495062,-86,-86.7,-90.45,20,1
gryphonelab,22772.740927458,-81,-84.7,-90.67,20,1
gryphonelab,22773.187484176,-83,-81.9,-90.8,20,1
gryphonelab,22775.213867457,-83,-81.8,-91.81,20,1
gryphonelab,22775.304579644,-82,-81.7,-91.83,20,1
gryphonelab,22775.73818454,-82,-82.5,-92.04,20,1
gryphonelab,22776.711908081,-102,-95,-91.74,20,1
gryphonelab,22776.821774331,-101,-96.4,-91.65,20,1
gryphonelab,22777.346154123,-100,-100,-91.17,20,1
gryphonelab,22779.574636622,-96,-97.2,-91.75,20,1
gryphonelab,22780.967177871,-100,-99.6,-92.14,20,1
gryphonelab,22781.382186308,-95,-98.4,-92.37,20,1
gryphonelab,22781.812385579,-103,-97,-92.57,20,1
gryphonelab,22782.294284433,-100,-96.2,-92.67,20,1
gryphonelab,22783.76358938,-85,-86.3,-92.81,20,1
gryphonelab,22784.498721307,-85,-84.1,-91.76,20,1
gryphonelab,22784.819715265,-86,-85.4,-91.66,20,1
gryphonelab,22784.926172505,-84,-86.1,-91.7,20,1
gryphonelab,22787.083788598,-84,-87.1,-91.54,20,1
gryphonelab,22787.288394223,-87,-87.2,-91.49,20,1
gryphonelab,22788.560298337,-87,-89.7,-91.48,20,1
gryphonelab,22789.63079917,-84,-86.4,-91.89,20,1
gryphonelab,22789.839343961,-85,-85.5,-91.94,20,1
gryphonelab,22789.946627243,-83,-85,-92,20,1
gryphonelab,22792.148893544,-104,-98.2,-92.33,20,1
gryphonelab,22792.258237971,-102,-99.3,-92.34,20,1
gryphonelab,22793.24837745,-97,-97.1,-92.3,20,1
gryphonelab,22793.560588595,-96,-97.1,-92.21,20,1
gryphonelab,22793.672360002,-97,-97.4,-92.09,20,1
gryphonelab,22794.188512606,-100,-98.3,-92.17,20,1
gryphonelab,22794.636888387,-100,-100.5,-92.31,20,1
gryphonelab,22795.81355849,-98,-100.1,-91.99,20,1
gryphonelab,22795.897872188,-96,-98.7,-91.91,20,1
gryphonelab,22796.427208542,-95,-91.2,-91.69,20,1
gryphonelab,22796.682624323,-86,-89.1,-91.7,20,1
gryphonelab,22797.070862865,-86,-88.5,-91.75,20,1
gryphonelab,22797.835536563,-84,-86.9,-91.54,20,1
gryphonelab,22797.947389896,-82,-87.7,-91.36,20,1
gryphonelab,22799.029451927,-90,-89.8,-89.14,20,1
gryphonelab,22799.870722708,-84,-88.1,-87.81,20,1
gryphonelab,22800.068978593,-88,-87.6,-87.65,20,1
gryphonelab,22800.827947655,-89,-88.6,-87.36,20,1
gryphonelab,22801.027260207,-86,-87.7,-87.15,20,1
gryphonelab,22801.992617186,-85,-82.6,-86.25,20,1
gryphonelab,22802.589333123,-84,-83.4,-86.22,20,1
gryphonelab,22803.173726456,-83,-82.5,-86.43,20,1
gryphonelab,22803.649758123,-82,-81.7,-86.62,20,1
gryphonelab,22805.578003435,-77,-77.3,-87.13,20,1
gryphonelab,22805.687516612,-78,-77.5,-87.02,20,1
gryphonelab,22806.232383903,-82,-84.8,-86.75,20,1
gryphonelab,22806.329195882,-85,-86.6,-86.72,20,1
gryphonelab,22806.436683539,-94,-88.3,-86.65,20,1
gryphonelab,22809.955452964,-92,-92.9,-86.95,20,1
gryphonelab,22810.168337287,-92,-93.4,-86.99,20,1
gryphonelab,22811.762920984,-84,-87.5,-87.44,20,1
gryphonelab,22812.234178588,-82,-84.9,-87.61,20,1
gryphonelab,22812.315256401,-84,-83.1,-87.75,20,1
gryphonelab,22813.486778796,-82,-81.4,-88.03,20,1
gryphonelab,22814.342911921,-86,-87.3,-87.19,20,1
gryphonelab,22816.998953639,-84,-85,-86.44,20,1
gryphonelab,22818.714780982,-85,-84,-86.5,20,1
gryphonelab,22820.201935096,-80,-81.9,-87.78,20,1
gryphonelab,22820.321187179,-82,-82.1,-87.91,20,1
gryphonelab,22821.055335981,-83,-83.9,-88.56,20,1
gryphonelab,22821.492823585,-85,-87.4,-88.69,20,1
gryphonelab,22822.442449105,-93,-92.4,-89.26,20,1
gryphonelab,22823.72453874,-93,-93.2,-90.43,20,1
gryphonelab,22823.83541723,-93,-93,-90.6,20,1
gryphonelab,22824.583367125,-95,-91.9,-91.13,20,1
gryphonelab,22828.105724155,-95,-95.2,-91.42,20,1
gryphonelab,22828.322428218,-94,-94.1,-91.18,20,1
gryphonelab,22828.747616447,-92,-93.4,-90.73,20,1
gryphonelab,22829.286893217,-93,-94.6,-90.3,20,1
gryphonelab,22829.716473686,-98,-96,-89.83,20,1
gryphonelab,22830.139006238,-94,-94.2,-89.82,20,1
gryphonelab,22830.251224988,-91,-93.3,-89.88,20,1
gryphonelab,22830.459239102,-88,-91.5,-89.99,20,1
gryphonelab,22831.101067123,-94,-90.2,-90.11,20,1
gryphonelab,22833.121979049,-80,-81.5,-90.21,20,1
gryphonelab,22833.339083059,-81,-81.4,-90.26,20,1
gryphonelab,22833.75808983,-82,-81.9,-90.26,20,1
gryphonelab,22833.992144622,-83,-81.8,-90.32,20,1
gryphonelab,22834.097289726,-84,-81.4,-90.47,20,1
gryphonelab,22834.417916288,-81,-81.2,-90.63,20,1
gryphonelab,22834.613364569,-79,-81.5,-90.63,20,1
gryphonelab,22834.936428059,-82,-82.9,-90.43,20,1
gryphonelab,22835.36092384,-88,-82.8,-90.31,20,1
gryphonelab,22835.57454634,-79,-83.3,-90.26,20,1
gryphonelab,22836.745892173,-99,-92.6,-89.39,20,1
gryphonelab,22836.854455037,-100,-93.7,-89.37,20,1
gryphonelab,22837.287605766,-93,-96.3,-89.35,20,1
gryphonelab,22837.713607485,-95,-94.6,-89.4,20,1
gryphonelab,22837.924852016,-94,-94.5,-89.22,20,1
gryphonelab,22841.762351963,-88,-92.5,-90.33,20,1
gryphonelab,22841.871506442,-94,-90.8,-90.43,20,1
