device,elapsed,rss,mRSS10,mRSS100,dist,label
gryphonelab,22755.901962777,-97,-90.1,-89.98,20,1
gryphonelab,22756.145744912,-94,-91.8,-90.05,20,1
gryphonelab,22756.234364651,-99,-91.9,-90.09,20,1
gryphonelab,22756.33565736,-91,-91.4,-90.12,20,1
gryphonelab,22756.44027788,-96,-90,-90.12,20,1
gryphonelab,22757.099925953,-80,-85.6,-90.01,20,1
gryphonelab,22757.721096161,-80,-81.2,-89.9,20,1
gryphonelab,22757.943501109,-80,-82.6,-89.77,20,1
gryphonelab,22758.261985953,-80,-83.7,-89.76,20,1
gryphonelab,22758.501011369,-84,-84.5,-89.7,20,1
gryphonelab,22759.121153452,-91,-84.1,-89.79,20,1
gryphonelab,22759.222639077,-87,-84,-89.89,20,1
gryphonelab,22759.535711525,-78,-84.1,-90.12,20,1
gryphonelab,22759.647534025,-79,-82.3,-90.23,20,1
gryphonelab,22759.751253348,-81,-81.4,-90.34,20,1
gryphonelab,22759.861017202,-82,-80.7,-90.45,20,1
gryphonelab,22759.966961473,-84,-80.6,-90.54,20,1
gryphonelab,22760.077026317,-82,-80.9,-90.62,20,1
gryphonelab,22760.204495379,-82,-81.7,-90.67,20,1
gryphonelab,22760.306573764,-80,-83,-90.71,20,1
gryphonelab,22760.400565431,-79,-84.4,-90.72,20,1
gryphonelab,22760.511877619,-82,-85.5,-90.72,20,1
gryphonelab,22760.664743556,-86,-86.6,-90.77,20,1
gryphonelab,22760.946438243,-95,-89.3,-90.96,20,1
gryphonelab,22761.043291837,-93,-90.8,-91.02,20,1
gryphonelab,22761.374565639,-94,-93.3,-91.15,20,1
gryphonelab,22761.491080066,-97,-94.1,-91.23,20,1
gryphonelab,22761.576595691,-95,-94.3,-91.28,20,1
gryphonelab,22761.688555847,-95,-94.3,-91.31,20,1
gryphonelab,22761.79263392,-91,-94.3,-91.34,20,1
gryphonelab,22761.926372253,-94,-94.2,-91.39,20,1
gryphonelab,22761.972688608,-94,-94.3,-91.46,20,1
gryphonelab,22762.075322722,-95,-94.2,-91.56,20,1
gryphonelab,22762.181512462,-93,-94.3,-91.66,20,1
gryphonelab,22762.29074616,-94,-94.7,-91.76,20,1
gryphonelab,22762.407797253,-95,-95.5,-91.85,20,1
gryphonelab,22762.525867305,-96,-96.1,-91.94,20,1
gryphonelab,22762.619847774,-96,-96.6,-92.01,20,1
gryphonelab,22762.713429076,-99,-96.9,-91.99,20,1
gryphonelab,22762.878337618,-99,-97.5,-91.95,20,1
gryphonelab,22762.935545066,-100,-98.2,-91.94,20,1
gryphonelab,22763.035724076,-99,-98.7,-91.94,20,1
gryphonelab,22763.352921992,-99,-99.2,-91.92,20,1
gryphonelab,22763.467462149,-101,-99,-91.9,20,1
gryphonelab,22763.570140326,-100,-98.8,-91.98,20,1
gryphonelab,22763.676271159,-99,-98.3,-92.08,20,1
gryphonelab,22763.784752826,-98,-97.9,-92.22,20,1
gryphonelab,22763.890518815,-97,-97.7,-92.36,20,1
gryphonelab,22763.998283086,-97,-97.5,-92.49,20,1
gryphonelab,22764.315292669,-96,-97.7,-92.83,20,1
gryphonelab,22764.437882409,-97,-98,-92.95,20,1
gryphonelab,22764.536378034,-99,-98.5,-93.06,20,1
gryphonelab,22764.637517304,-101,-98.8,-93.14,20,1
gryphonelab,22764.849291211,-101,-99.8,-93.09,20,1
gryphonelab,22765.09617694,-100,-100.2,-93.27,20,1
gryphonelab,22765.499886367,-99,-99.7,-93.48,20,1
gryphonelab,22765.605643137,-99,-99.2,-93.6,20,1
gryphonelab,22765.706723554,-98,-98.7,-93.65,20,1
gryphonelab,22765.832528294,-98,-98.1,-93.69,20,1
gryphonelab,22765.951136314,-97,-97.6,-93.71,20,1
gryphonelab,22766.040514908,-97,-97.1,-93.75,20,1
gryphonelab,22766.243614023,-96,-95.1,-93.85,20,1
gryphonelab,22766.349503918,-95,-94.3,-93.96,20,1
gryphonelab,22766.554999439,-89,-93,-94.08,20,1
gryphonelab,22766.661239387,-89,-92.4,-93.97,20,1
gryphonelab,22766.813869491,-90,-91.9,-93.83,20,1
gryphonelab,22766.978832356,-90,-91.5,-93.72,20,1
